name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Bad To You (with Normani & Nicki Minaj),Charlie's Angels (Original Motion Picture Soundtrack),Various Artists,2019-11-01,2.86,84,0.727,0.065,0.727,0.583,0.0,0.106,-7.385,0.0718,147.983,4,2019,False
7 rings,"thank u, next",Ariana Grande,2019-02-08,2.98,90,0.778,0.5920000000000001,0.778,0.317,0.0,0.0881,-10.732000000000001,0.33399999999999996,140.048,4,2019,True
boyfriend (with Social House),boyfriend,Ariana Grande,2019-08-02,3.1,88,0.4,0.11900000000000001,0.4,0.795,0.0,0.159,-3.7310000000000003,0.461,190.097,4,2019,True
"thank u, next","thank u, next",Ariana Grande,2019-02-08,3.46,88,0.7170000000000001,0.22899999999999998,0.7170000000000001,0.653,0.0,0.10099999999999999,-5.6339999999999995,0.0658,106.96600000000001,4,2019,True
"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,3.17,85,0.726,0.0421,0.726,0.5539999999999999,0.0,0.106,-5.29,0.0917,169.99900000000002,4,2019,True
God is a woman,Sweetener,Ariana Grande,2018-08-17,3.29,82,0.602,0.0233,0.602,0.6579999999999999,5.9999999999999995e-05,0.237,-5.934,0.0558,145.031,4,2018,True
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Don’t Call Me Angel (Charlie’s Angels),Ariana Grande,2019-09-13,3.17,83,0.643,0.00268,0.643,0.721,6.51e-06,0.0898,-5.247999999999999,0.0449,102.914,4,2019,True
no tears left to cry,Sweetener,Ariana Grande,2018-08-17,3.43,84,0.6990000000000001,0.04,0.6990000000000001,0.713,3.11e-06,0.294,-5.507000000000001,0.0594,121.993,4,2018,True
breathin,Sweetener,Ariana Grande,2018-08-17,3.3,80,0.568,0.0211,0.568,0.6559999999999999,1.3699999999999998e-05,0.213,-5.412999999999999,0.0433,100.04899999999999,4,2018,True
Into You,Dangerous Woman,Ariana Grande,2016-05-20,4.07,19,0.636,0.0161,0.636,0.727,1.12e-06,0.151,-5.852,0.106,107.988,4,2016,True
One Last Time,My Everything,Ariana Grande,2014-08-21,3.29,13,0.624,0.115,0.624,0.618,3.3e-06,0.10400000000000001,-4.868,0.0322,125.036,4,2014,True
Dangerous Woman,Dangerous Woman,Ariana Grande,2016-05-20,3.93,15,0.677,0.0612,0.677,0.604,0.0,0.353,-5.32,0.0385,134.05200000000002,3,2016,True
Side To Side,Dangerous Woman,Ariana Grande,2016-05-20,3.77,20,0.648,0.0408,0.648,0.738,0.0,0.292,-5.882999999999999,0.247,159.145,4,2016,True
needy,"thank u, next",Ariana Grande,2019-02-08,2.86,78,0.647,0.78,0.647,0.309,7.41e-06,0.20199999999999999,-7.9479999999999995,0.0366,87.045,4,2019,True
Love Me Harder,My Everything,Ariana Grande,2014-08-21,3.94,12,0.47600000000000003,0.0102,0.47600000000000003,0.72,0.0,0.0639,-4.357,0.0346,99.054,4,2014,True
NASA,"thank u, next",Ariana Grande,2019-02-08,3.03,77,0.747,0.451,0.747,0.45799999999999996,0.0,0.252,-6.891,0.303,75.029,4,2019,True
MONOPOLY (with Victoria Monét),MONOPOLY,Ariana Grande,2019-04-01,2.64,74,0.892,0.7040000000000001,0.892,0.507,3.14e-05,0.109,-8.282,0.37799999999999995,143.96,4,2019,True
imagine,"thank u, next",Ariana Grande,2019-02-08,3.54,78,0.7290000000000001,0.37799999999999995,0.7290000000000001,0.475,0.0,0.12,-4.985,0.0364,62.52,3,2019,True
bloodline,"thank u, next",Ariana Grande,2019-02-08,3.61,76,0.758,0.0815,0.758,0.665,0.000157,0.21600000000000003,-5.188,0.0774,151.976,4,2019,True
bad idea,"thank u, next",Ariana Grande,2019-02-08,4.45,75,0.847,0.0268,0.847,0.579,0.0545,0.102,-5.314,0.0719,137.998,4,2019,True
Break Free,My Everything,Ariana Grande,2014-08-21,3.58,9,0.68,0.007559999999999999,0.68,0.6920000000000001,4.52e-05,0.20199999999999999,-5.303999999999999,0.0463,129.94299999999998,4,2014,True
The Way,Yours Truly,Ariana Grande,2013-01-01,3.78,69,0.645,0.294,0.645,0.877,0.0,0.0759,-3.208,0.113,82.324,4,2013,True
Be Alright,Dangerous Woman,Ariana Grande,2016-05-20,2.99,72,0.813,0.16899999999999998,0.813,0.456,2.85e-06,0.105,-7.667000000000001,0.0685,108.801,4,2016,True
Everyday,Dangerous Woman,Ariana Grande,2016-05-20,3.25,72,0.637,0.0152,0.637,0.733,0.0,0.162,-4.387,0.0553,131.005,4,2016,True
Problem,My Everything,Ariana Grande,2014-08-21,3.23,9,0.654,0.0216,0.654,0.797,1.04e-05,0.131,-5.278,0.182,102.99799999999999,4,2014,True
in my head,"thank u, next",Ariana Grande,2019-02-08,3.72,75,0.662,0.17300000000000001,0.662,0.6,0.00013700000000000002,0.109,-6.402,0.0703,134.97899999999998,4,2019,True
fake smile,"thank u, next",Ariana Grande,2019-02-08,3.48,75,0.45,0.32899999999999996,0.45,0.619,0.0,0.319,-7.412000000000001,0.37200000000000005,83.3,4,2019,True
sweetener,Sweetener,Ariana Grande,2018-08-17,3.47,72,0.721,0.248,0.721,0.45899999999999996,0.0,0.212,-6.4079999999999995,0.032,119.914,4,2018,True
