name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
"SPIRIT - From Disney's ""The Lion King""","SPIRIT (From Disney's ""The Lion King"")",Beyoncé,2019-07-10,4.62,69,0.44799999999999995,0.00988,0.44799999999999995,0.435,0.0,0.0964,-8.102,0.039,80.84899999999999,4,2019,True
BROWN SKIN GIRL,The Lion King: The Gift,Beyoncé,2019-07-19,4.14,74,0.603,0.049,0.603,0.602,0.0,0.27899999999999997,-7.082999999999999,0.23,119.70299999999999,5,2019,True
Hold Up,Lemonade,Beyoncé,2016-04-23,3.68,76,0.524,0.745,0.524,0.397,0.0,0.521,-11.936,0.405,80.744,4,2016,True
Sorry,Lemonade,Beyoncé,2016-04-23,3.88,74,0.775,0.00175,0.775,0.598,4.44e-06,0.253,-7.274,0.0535,129.988,4,2016,True
6 Inch (feat. The Weeknd),Lemonade,Beyoncé,2016-04-23,4.34,68,0.516,0.0433,0.516,0.637,3.89e-06,0.11,-8.832,0.0632,138.011,4,2016,True
Daddy Lessons,Lemonade,Beyoncé,2016-04-23,4.8,71,0.643,0.273,0.643,0.503,0.0,0.349,-8.37,0.21600000000000003,90.88600000000001,4,2016,True
Formation,Lemonade,Beyoncé,2016-04-23,3.43,77,0.8959999999999999,0.00532,0.8959999999999999,0.621,0.0,0.196,-6.857,0.237,121.96600000000001,4,2016,True
Crazy In Love - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,2.79,67,0.401,0.000263,0.401,0.769,0.000458,0.327,-8.318999999999999,0.158,99.226,4,2019,True
Formation - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,4.38,65,0.677,0.0237,0.677,0.871,0.0,0.956,-9.134,0.433,121.904,4,2019,True
Bow Down - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,1.46,65,0.389,0.0332,0.389,0.866,0.0,0.43200000000000005,-7.544,0.128,141.851,4,2019,True
Drunk in Love - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,4.23,64,0.341,0.0197,0.341,0.836,7.38e-06,0.33,-8.933,0.282,141.236,4,2019,True
Diva - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,2.76,66,0.574,0.0276,0.574,0.845,0.00029,0.387,-7.406000000000001,0.16399999999999998,145.921,4,2019,True
Flawless / Feeling Myself - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,3.97,63,0.5870000000000001,0.079,0.5870000000000001,0.764,2.1000000000000002e-06,0.7759999999999999,-9.322000000000001,0.215,137.013,4,2019,True
Partition - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,2.31,62,0.452,0.0101,0.452,0.48700000000000004,0.0039,0.698,-11.767000000000001,0.0461,123.43,5,2019,True
Yoncé - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,1.14,64,0.685,0.0649,0.685,0.628,0.0,0.31,-12.981,0.45399999999999996,88.007,4,2019,True
Baby Boy - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,1.54,63,0.7020000000000001,0.00646,0.7020000000000001,0.8170000000000001,0.0,0.467,-8.644,0.102,100.00299999999999,4,2019,True
Countdown - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,1.72,63,0.57,0.00413,0.57,0.805,0.0,0.557,-9.217,0.293,167.334,4,2019,True
Check On It - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,1.27,62,0.519,0.00294,0.519,0.884,0.0,0.943,-8.077,0.369,167.345,4,2019,True
Deja Vu (feat. Jay-Z) - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,4.83,63,0.7709999999999999,0.00534,0.7709999999999999,0.684,2.66e-06,0.7,-8.742,0.141,105.96799999999999,4,2019,True
