name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Nonstop,Scorpion,Drake,2018-06-29,3.98,15,0.909,0.0306,0.909,0.405,0.00698,0.105,-8.133,0.14,154.984,4,2018,True
Can’t Take A Joke,Scorpion,Drake,2018-06-29,2.73,7,0.878,0.040999999999999995,0.878,0.43200000000000005,0.0,0.0571,-9.852,0.14300000000000002,86.956,4,2018,True
Elevate,Scorpion,Drake,2018-06-29,3.08,7,0.755,0.0153,0.755,0.47,0.0,0.11800000000000001,-8.72,0.139,76.056,4,2018,True
Emotionless,Scorpion,Drake,2018-06-29,5.04,8,0.413,0.0239,0.413,0.6759999999999999,0.0,0.0811,-5.124,0.213,173.47799999999998,4,2018,True
God's Plan,Scorpion,Drake,2018-06-29,3.32,10,0.754,0.0329,0.754,0.449,7.840000000000001e-05,0.55,-9.212,0.10800000000000001,77.167,4,2018,True
I'm Upset,Scorpion,Drake,2018-06-29,3.57,8,0.899,0.27899999999999997,0.899,0.5870000000000001,0.0,0.0835,-7.8660000000000005,0.33799999999999997,149.993,4,2018,True
Survival,Scorpion,Drake,2018-06-29,2.27,6,0.685,0.134,0.685,0.593,0.0,0.12300000000000001,-9.083,0.284,84.76299999999999,4,2018,True
8 Out Of 10,Scorpion,Drake,2018-06-29,3.26,6,0.534,0.16399999999999998,0.534,0.684,0.0,0.499,-7.874,0.7170000000000001,170.416,4,2018,True
Mob Ties,Scorpion,Drake,2018-06-29,3.42,9,0.755,0.0443,0.755,0.575,0.0012699999999999999,0.276,-8.392000000000001,0.0673,85.994,4,2018,True
Sandra’s Rose,Scorpion,Drake,2018-06-29,3.61,6,0.48700000000000004,0.047,0.48700000000000004,0.85,0.0,0.142,-5.4270000000000005,0.25,152.102,4,2018,True
Talk Up,Scorpion,Drake,2018-06-29,3.26,5,0.759,0.0039,0.759,0.479,5.3e-06,0.302,-10.65,0.18600000000000003,140.089,4,2018,True
Is There More,Scorpion,Drake,2018-06-29,3.78,4,0.636,0.738,0.636,0.5379999999999999,0.0,0.149,-7.725,0.312,83.508,4,2018,True
Peak,Scorpion,Drake,2018-06-29,3.43,6,0.6890000000000001,0.847,0.6890000000000001,0.217,0.000123,0.106,-13.539000000000001,0.0387,92.007,4,2018,True
Summer Games,Scorpion,Drake,2018-06-29,4.13,7,0.7759999999999999,0.48100000000000004,0.7759999999999999,0.48200000000000004,0.0457,0.11,-11.267999999999999,0.0356,136.015,4,2018,True
Jaded,Scorpion,Drake,2018-06-29,4.37,6,0.7659999999999999,0.0366,0.7659999999999999,0.272,0.0,0.175,-5.696000000000001,0.040999999999999995,116.036,4,2018,True
Nice For What,Scorpion,Drake,2018-06-29,3.51,10,0.7,0.0884,0.7,0.909,0.00011399999999999999,0.0778,-6.461,0.0628,93.469,4,2018,True
Finesse,Scorpion,Drake,2018-06-29,3.03,7,0.807,0.132,0.807,0.321,0.00028900000000000003,0.1,-8.147,0.0571,94.994,4,2018,True
