name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
South of the Border (feat. Camila Cabello & Cardi B),No.6 Collaborations Project,Ed Sheeran,2019-07-12,3.41,93,0.857,0.14800000000000002,0.857,0.621,0.0,0.0865,-6.376,0.0824,97.986,4,2019,True
Beautiful People (feat. Khalid),No.6 Collaborations Project,Ed Sheeran,2019-07-12,3.3,87,0.64,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,92.977,4,2019,True
Cross Me (feat. Chance the Rapper & PnB Rock),No.6 Collaborations Project,Ed Sheeran,2019-07-12,3.44,75,0.746,0.214,0.746,0.787,0.0,0.0669,-6.372999999999999,0.12,95.005,4,2019,True
Take Me Back to London (feat. Stormzy),No.6 Collaborations Project,Ed Sheeran,2019-07-12,3.16,81,0.885,0.21899999999999997,0.885,0.762,0.0,0.162,-5.513,0.21600000000000003,138.059,4,2019,True
Best Part of Me (feat. YEBBA),No.6 Collaborations Project,Ed Sheeran,2019-07-12,4.05,75,0.565,0.762,0.565,0.242,9.3e-06,0.285,-8.367,0.0318,81.657,4,2019,True
I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,2019-07-12,3.67,85,0.7979999999999999,0.0912,0.7979999999999999,0.675,0.0,0.0894,-5.041,0.0442,101.956,4,2019,True
Antisocial (with Travis Scott),No.6 Collaborations Project,Ed Sheeran,2019-07-12,2.7,79,0.715,0.133,0.715,0.823,0.0,0.361,-5.313,0.0495,151.95600000000002,4,2019,True
Remember The Name (feat. Eminem & 50 Cent),No.6 Collaborations Project,Ed Sheeran,2019-07-12,3.46,79,0.852,0.135,0.852,0.6659999999999999,0.0,0.7979999999999999,-6.922999999999999,0.184,91.046,4,2019,True
Feels (feat. Young Thug & J Hus),No.6 Collaborations Project,Ed Sheeran,2019-07-12,2.51,71,0.665,0.11199999999999999,0.665,0.68,0.0,0.096,-4.899,0.29,91.67,4,2019,True
Put It All on Me (feat. Ella Mai),No.6 Collaborations Project,Ed Sheeran,2019-07-12,3.28,71,0.627,0.253,0.627,0.594,0.0,0.373,-8.306000000000001,0.0478,101.008,4,2019,True
Nothing On You (feat. Paulo Londra & Dave),No.6 Collaborations Project,Ed Sheeran,2019-07-12,3.35,76,0.747,0.33299999999999996,0.747,0.649,0.0,0.172,-6.218,0.21899999999999997,88.01100000000001,4,2019,True
