name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Killshot,Killshot,Eminem,2018-09-19,4.23,78,0.892,0.0989,0.892,0.6509999999999999,0.0,0.371,-8.645,0.37799999999999995,105.814,4,2018,True
The Ringer,Kamikaze,Eminem,2018-08-31,5.63,76,0.9390000000000001,0.0311,0.9390000000000001,0.551,0.0,0.192,-9.126,0.29100000000000004,118.552,4,2018,True
Greatest,Kamikaze,Eminem,2018-08-31,3.78,73,0.809,0.0441,0.809,0.737,0.0,0.341,-5.186,0.10800000000000001,80.025,4,2018,True
Lucky You (feat. Joyner Lucas),Kamikaze,Eminem,2018-08-31,4.08,82,0.8759999999999999,0.0627,0.8759999999999999,0.7859999999999999,0.0,0.127,-4.8839999999999995,0.306,153.06799999999998,4,2018,True
Paul - Skit,Kamikaze,Eminem,2018-08-31,0.59,65,0.636,0.993,0.636,0.335,0.0,0.342,-13.327,0.966,161.68,4,2018,True
Normal,Kamikaze,Eminem,2018-08-31,3.71,69,0.907,0.261,0.907,0.64,0.0,0.0785,-6.542000000000001,0.354,120.995,4,2018,True
Em Calls Paul - Skit,Kamikaze,Eminem,2018-08-31,0.82,64,0.7070000000000001,0.977,0.7070000000000001,0.314,0.0,0.109,-10.115,0.747,104.014,4,2018,True
Stepping Stone,Kamikaze,Eminem,2018-08-31,5.16,69,0.616,0.0305,0.616,0.684,0.0,0.376,-6.032,0.311,179.503,4,2018,True
Not Alike (feat. Royce Da 5'9),Kamikaze,Eminem,2018-08-31,4.8,73,0.904,0.0692,0.904,0.7559999999999999,0.0,0.33899999999999997,-3.7460000000000004,0.32,140.005,4,2018,True
Kamikaze,Kamikaze,Eminem,2018-08-31,3.6,73,0.78,0.11199999999999999,0.78,0.8079999999999999,0.0,0.32899999999999996,-5.175,0.484,79.982,4,2018,True
Fall,Kamikaze,Eminem,2018-08-31,4.37,74,0.83,0.22699999999999998,0.83,0.546,0.0,0.11199999999999999,-5.716,0.295,182.97299999999998,4,2018,True
Nice Guy (with Jessie Reyez),Kamikaze,Eminem,2018-08-31,2.51,67,0.65,0.0942,0.65,0.639,0.0,0.135,-5.962000000000001,0.45799999999999996,139.226,4,2018,True
Good Guy (feat. Jessie Reyez),Kamikaze,Eminem,2018-08-31,2.37,70,0.696,0.244,0.696,0.634,0.0,0.43700000000000006,-6.917999999999999,0.281,89.973,4,2018,True
Venom - Music From The Motion Picture,Kamikaze,Eminem,2018-08-31,4.49,77,0.7490000000000001,0.0193,0.7490000000000001,0.794,0.0,0.5429999999999999,-5.063,0.064,135.959,4,2018,True
River (feat. Ed Sheeran),Revival,Eminem,2017-12-15,3.68,23,0.757,0.17,0.757,0.748,0.0,0.0759,-5.794,0.473,90.052,4,2017,True
Walk On Water (feat. Beyoncé),Revival,Eminem,2017-12-15,5.06,7,0.46799999999999997,0.7959999999999999,0.46799999999999997,0.444,0.0,0.619,-10.217,0.29100000000000004,76.01899999999999,3,2017,True
Believe,Revival,Eminem,2017-12-15,5.26,5,0.8859999999999999,0.166,0.8859999999999999,0.488,0.0,0.34299999999999997,-5.627999999999999,0.184,130.064,4,2017,True
Chloraseptic (feat. Phresher),Revival,Eminem,2017-12-15,5.02,1,0.894,0.0396,0.894,0.7490000000000001,0.0,0.272,-6.415,0.27399999999999997,132.06,4,2017,True
Untouchable,Revival,Eminem,2017-12-15,6.17,1,0.546,0.0781,0.546,0.89,0.0,0.146,-3.38,0.513,177.612,4,2017,True
Remind Me (Intro),Revival,Eminem,2017-12-15,0.44,0,0.596,0.836,0.596,0.452,0.000479,0.7070000000000001,-24.656,0.595,73.704,5,2017,True
Remind Me,Revival,Eminem,2017-12-15,3.75,5,0.764,0.125,0.764,0.867,0.0,0.7170000000000001,-3.8560000000000003,0.29600000000000004,93.969,4,2017,True
Revival (Interlude),Revival,Eminem,2017-12-15,0.86,1,0.608,0.8859999999999999,0.608,0.302,1.29e-06,0.36200000000000004,-9.8,0.0331,99.92,4,2017,True
Like Home (feat. Alicia Keys),Revival,Eminem,2017-12-15,4.09,3,0.778,0.258,0.778,0.7829999999999999,0.0,0.231,-4.534,0.239,109.911,4,2017,True
Bad Husband (feat. X Ambassadors),Revival,Eminem,2017-12-15,4.8,5,0.51,0.083,0.51,0.72,0.0,0.11800000000000001,-5.157,0.317,94.289,3,2017,True
Tragic Endings (feat. Skylar Grey),Revival,Eminem,2017-12-15,4.2,5,0.634,0.429,0.634,0.7709999999999999,0.0,0.6890000000000001,-4.957,0.295,80.971,4,2017,True
Framed,Revival,Eminem,2017-12-15,4.22,1,0.7440000000000001,0.0113,0.7440000000000001,0.821,0.0,0.259,-3.009,0.161,145.982,4,2017,True
Nowhere Fast (feat. Kehlani),Revival,Eminem,2017-12-15,4.4,5,0.708,0.261,0.708,0.7290000000000001,0.0,0.0692,-4.621,0.188,79.024,4,2017,True
Heat,Revival,Eminem,2017-12-15,4.17,2,0.835,0.163,0.835,0.8640000000000001,0.0,0.305,-5.361000000000001,0.272,99.04299999999999,4,2017,True
Offended,Revival,Eminem,2017-12-15,5.35,2,0.6559999999999999,0.573,0.6559999999999999,0.871,0.0,0.846,-4.604,0.366,140.322,4,2017,True
Need Me (feat. Pink),Revival,Eminem,2017-12-15,4.42,2,0.6970000000000001,0.0050100000000000006,0.6970000000000001,0.664,0.0,0.304,-7.148,0.0626,104.979,3,2017,True
In Your Head,Revival,Eminem,2017-12-15,3.04,6,0.618,0.0019399999999999999,0.618,0.792,0.0,0.379,-5.267,0.284,82.723,4,2017,True
Castle,Revival,Eminem,2017-12-15,4.25,6,0.657,0.0228,0.657,0.826,0.000554,0.0967,-4.544,0.293,85.064,4,2017,True
Arose,Revival,Eminem,2017-12-15,4.58,4,0.612,0.182,0.612,0.904,0.0,0.17,-6.0760000000000005,0.429,75.801,4,2017,True
Lose Yourself - Soundtrack Version,8 Mile [Deluxe (International Version w/o weblink)],Various Artists,2002-01-01,5.34,1,0.684,0.00925,0.684,0.735,0.000659,0.28800000000000003,-4.596,0.273,171.38299999999998,4,2002,False
'Till I Collapse,The Eminem Show,Eminem,2002-05-26,4.96,17,0.551,0.0748,0.551,0.851,0.0,0.0784,-3.2769999999999997,0.19699999999999998,171.41099999999997,4,2002,True
Rap God,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,6.06,13,0.7120000000000001,0.40299999999999997,0.7120000000000001,0.838,0.0,0.809,-2.679,0.313,148.138,4,2013,True
Without Me,The Eminem Show,Eminem,2002-05-26,4.84,14,0.915,0.00299,0.915,0.6559999999999999,0.0,0.324,-2.827,0.0716,112.243,4,2002,True
Love The Way You Lie,Recovery,Eminem,2010-06-18,4.39,18,0.746,0.24600000000000002,0.746,0.922,0.0,0.515,-5.013999999999999,0.23600000000000002,86.961,4,2010,True
The Monster,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,4.17,16,0.784,0.0492,0.784,0.85,0.0,0.11199999999999999,-3.679,0.0691,110.00399999999999,4,2013,True
The Real Slim Shady,The Marshall Mathers LP - Tour Edition (International Version),Eminem,2000-05-23,4.74,2,0.9490000000000001,0.0302,0.9490000000000001,0.6609999999999999,0.0,0.0454,-4.244,0.0572,104.50399999999999,4,2000,True
Mockingbird,Encore,Eminem,2004-11-12,4.18,8,0.637,0.209,0.637,0.6779999999999999,0.0,0.156,-3.798,0.266,84.039,4,2004,True
Not Afraid,Recovery,Eminem,2010-06-18,4.14,13,0.8540000000000001,0.5429999999999999,0.8540000000000001,0.9540000000000001,0.0,0.201,-1.185,0.24600000000000002,114.609,5,2010,True
Stan,The Marshall Mathers LP - Tour Edition (International Version),Eminem,2000-05-23,6.74,2,0.78,0.0371,0.78,0.768,2.34e-06,0.518,-4.325,0.23800000000000002,80.063,4,2000,True
When I'm Gone,Curtain Call: The Hits,Eminem,2005-12-06,4.69,1,0.515,0.0493,0.515,0.74,0.0,0.258,-5.507000000000001,0.363,75.922,4,2005,True
My Name Is,The Slim Shady LP,Eminem,1999-01-01,4.47,7,0.833,0.0406,0.833,0.6809999999999999,0.0,0.0926,-6.247999999999999,0.35600000000000004,85.49700000000001,4,1999,True
Shake That,Curtain Call: The Hits,Eminem,2005-12-06,4.57,2,0.9640000000000001,0.0543,0.9640000000000001,0.642,3.68e-05,0.158,-5.831,0.109,107.006,4,2005,True
Sing For The Moment,The Eminem Show,Eminem,2002-05-26,5.66,4,0.672,0.00185,0.672,0.818,2.29e-06,0.0612,-4.209,0.109,164.078,4,2002,True
Survival,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,4.54,6,0.449,0.0044,0.449,0.892,0.0,0.126,-3.002,0.225,176.12900000000002,4,2013,True
Like Toy Soldiers,Encore,Eminem,2004-11-12,4.95,6,0.52,0.0193,0.52,0.768,0.00033999999999999997,0.10400000000000001,-3.489,0.359,79.178,4,2004,True
Berzerk,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,3.98,6,0.715,0.0232,0.715,0.8740000000000001,0.0,0.24600000000000002,-4.052,0.344,95.213,4,2013,True
You Don't Know,Eminem Presents The Re-Up,Eminem,2006-12-04,4.3,21,0.7609999999999999,0.009590000000000001,0.7609999999999999,0.858,1.32e-06,0.0933,-1.932,0.133,85.521,4,2006,True
Cinderella Man,Recovery,Eminem,2010-06-18,4.65,5,0.682,0.233,0.682,0.9079999999999999,0.0,0.0807,-3.4330000000000003,0.196,86.069,4,2010,True
No Love,Recovery,Eminem,2010-06-18,4.99,5,0.735,0.128,0.735,0.932,0.0,0.175,-2.86,0.22399999999999998,129.583,4,2010,True
Guilty Conscience,The Slim Shady LP,Eminem,1999-01-01,3.32,5,0.752,0.0483,0.752,0.782,0.0,0.34,-5.147,0.28800000000000003,90.854,4,1999,True
Bitch Please II,The Marshall Mathers LP - Tour Edition (International Version),Eminem,2000-05-23,4.8,4,0.9179999999999999,0.0783,0.9179999999999999,0.586,0.0,0.145,-2.89,0.133,95.51700000000001,4,2000,True
Just Lose It,Encore,Eminem,2004-11-12,4.14,4,0.94,0.0581,0.94,0.633,4.04e-05,0.281,-3.56,0.0467,121.00299999999999,4,2004,True
Forever,Relapse: Refill,Eminem,2009-05-15,5.96,3,0.457,0.249,0.457,0.9059999999999999,0.0,0.182,-2.278,0.342,104.02,5,2009,True
Baby,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,4.38,0,0.78,0.594,0.78,0.89,0.0,0.09,-5.052,0.33399999999999996,93.824,4,2013,True
Brain Damage,The Slim Shady LP,Eminem,1999-01-01,3.78,0,0.8740000000000001,0.0091,0.8740000000000001,0.595,0.0,0.0648,-7.989,0.174,94.988,4,1999,True
Kim,The Marshall Mathers LP - Tour Edition (International Version),Eminem,2000-05-23,6.3,0,0.5870000000000001,0.0216,0.5870000000000001,0.9229999999999999,0.0,0.48100000000000004,-3.05,0.441,142.075,4,2000,True
Ass Like That,Encore,Eminem,2004-11-12,4.42,7,0.6459999999999999,0.409,0.6459999999999999,0.7959999999999999,0.0,0.107,-6.152,0.366,83.09299999999999,4,2004,True
Desperation,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,3.94,0,0.71,0.184,0.71,0.9209999999999999,0.0,0.0525,-2.448,0.242,143.983,4,2013,True
Spend Some Time,Encore,Eminem,2004-11-12,5.18,1,0.695,0.0561,0.695,0.61,1.1900000000000001e-05,0.12300000000000001,-5.132999999999999,0.228,83.65899999999999,4,2004,True
Buffalo Bill,Relapse: Refill,Eminem,2009-05-15,3.95,0,0.5489999999999999,0.0208,0.5489999999999999,0.883,0.0,0.237,-3.858,0.40299999999999997,175.882,4,2009,True
Groundhog Day,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,4.89,0,0.732,0.34700000000000003,0.732,0.797,0.0,0.804,-1.882,0.245,81.992,4,2013,True
Criminal,The Marshall Mathers LP - Tour Edition (International Version),Eminem,2000-05-23,5.33,0,0.81,0.127,0.81,0.7240000000000001,0.0,0.306,-6.153,0.268,101.941,4,2000,True
Crazy In Love,Encore,Eminem,2004-11-12,4.04,1,0.679,0.0221,0.679,0.732,0.0,0.127,-6.582999999999999,0.24600000000000002,80.003,4,2004,True
Elevator,Relapse: Refill,Eminem,2009-05-15,4.88,0,0.7959999999999999,0.32299999999999995,0.7959999999999999,0.7929999999999999,0.0,0.332,-3.911,0.318,90.51,4,2009,True
Beautiful Pain,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,4.42,11,0.682,0.0665,0.682,0.813,0.0,0.136,-4.5489999999999995,0.44299999999999995,165.43900000000002,4,2013,True
Curtains Up - Skit,The Eminem Show,Eminem,2002-05-26,0.5,0,0.359,0.00446,0.359,0.162,0.993,0.105,-20.02,0.0393,81.63600000000001,4,2002,True
One Shot 2 Shot,Encore,Eminem,2004-11-12,4.44,1,0.885,0.19399999999999998,0.885,0.61,0.0,0.278,-6.266,0.225,98.97399999999999,4,2004,True
Taking My Ball,Relapse: Refill,Eminem,2009-05-15,5.04,0,0.69,0.00517,0.69,0.875,0.0,0.184,-3.1889999999999996,0.081,90.95299999999999,4,2009,True
Bitch - Skit,The Slim Shady LP,Eminem,1999-01-01,0.33,0,0.7659999999999999,0.992,0.7659999999999999,0.32899999999999996,0.00229,0.622,-16.063,0.919,98.291,5,1999,True
White America,The Eminem Show,Eminem,2002-05-26,5.41,3,0.6579999999999999,0.0127,0.6579999999999999,0.607,0.0,0.159,-5.678,0.205,74.967,4,2002,True
Final Thought - Skit,Encore,Eminem,2004-11-12,0.5,0,0.546,0.00403,0.546,0.465,0.14,0.439,-24.404,0.136,125.684,4,2004,True
FACK,Curtain Call: The Hits,Eminem,2005-12-06,3.43,0,0.845,0.00569,0.845,0.6,0.107,0.102,-7.091,0.0842,124.215,4,2005,True
Role Model,The Slim Shady LP,Eminem,1999-01-01,3.42,2,0.863,0.0239,0.863,0.589,4.7e-06,0.0405,-4.263,0.258,91.962,4,1999,True
Business,The Eminem Show,Eminem,2002-05-26,4.2,4,0.905,0.0349,0.905,0.81,1.29e-05,0.124,-4.538,0.21100000000000002,96.441,4,2002,True
Encore/Curtains Down,Encore,Eminem,2004-11-12,5.81,0,0.605,0.0838,0.605,0.747,0.0,0.462,-5.574,0.397,173.951,4,2004,True
Lounge - Skit,The Slim Shady LP,Eminem,1999-01-01,0.78,0,0.337,0.629,0.337,0.37,0.0,0.893,-18.929000000000002,0.11199999999999999,128.39600000000002,1,1999,True
Cleanin' Out My Closet,The Eminem Show,Eminem,2002-05-26,4.97,5,0.9079999999999999,0.0658,0.9079999999999999,0.762,0.0,0.10400000000000001,-4.773,0.153,148.016,4,2002,True
We As Americans,Encore,Eminem,2004-11-12,4.61,0,0.745,0.134,0.745,0.575,0.0,0.129,-6.957999999999999,0.44,170.697,4,2004,True
Cold Wind Blows,Recovery,Eminem,2010-06-18,5.06,2,0.625,0.133,0.625,0.973,0.0,0.746,-0.501,0.42700000000000005,168.99900000000002,4,2010,True
Renegade,Curtain Call (Deluxe),Eminem,2005-12-06,5.6,2,0.764,0.441,0.764,0.7240000000000001,1.27e-06,0.177,-4.748,0.368,84.79700000000001,4,2005,True
Square Dance,The Eminem Show,Eminem,2002-05-26,5.4,1,0.76,0.0294,0.76,0.677,0.0,0.0876,-1.805,0.225,82.008,4,2002,True
Love You More,Encore,Eminem,2004-11-12,4.74,0,0.8420000000000001,0.048,0.8420000000000001,0.609,0.0131,0.102,-8.172,0.0875,93.244,4,2004,True
Talkin’ 2 Myself,Recovery,Eminem,2010-06-18,5.01,3,0.39799999999999996,0.0832,0.39799999999999996,0.9620000000000001,0.0,0.561,-2.177,0.415,180.271,4,2010,True
