name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Broken Whiskey Glass,Stoney (Deluxe),Post Malone,2016-12-09,3.9,1,0.35200000000000004,0.327,0.35200000000000004,0.6890000000000001,2.21e-06,0.13,-7.308,0.0616,99.74600000000001,4,2016,True
Big Lie,Stoney (Deluxe),Post Malone,2016-12-09,3.46,12,0.43200000000000005,0.184,0.43200000000000005,0.6859999999999999,0.0,0.0722,-4.937,0.19699999999999998,170.86,4,2016,True
Deja Vu,Stoney (Deluxe),Post Malone,2016-12-09,3.9,1,0.62,0.102,0.62,0.701,0.0,0.11699999999999999,-6.535,0.0451,133.904,4,2016,True
No Option,Stoney (Deluxe),Post Malone,2016-12-09,3.0,2,0.5489999999999999,0.0845,0.5489999999999999,0.7240000000000001,0.0,0.256,-5.048,0.121,167.993,4,2016,True
Cold,Stoney (Deluxe),Post Malone,2016-12-09,4.48,0,0.6579999999999999,0.627,0.6579999999999999,0.5710000000000001,5.27e-06,0.10300000000000001,-7.697,0.0432,132.993,4,2016,True
White Iverson,Stoney (Deluxe),Post Malone,2016-12-09,4.28,4,0.679,0.21600000000000003,0.679,0.565,0.0,0.0797,-7.654,0.035,130.079,4,2016,True
I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,3.72,3,0.5720000000000001,0.068,0.5720000000000001,0.557,0.0,0.2,-5.346,0.0407,143.908,4,2016,True
Patient,Stoney (Deluxe),Post Malone,2016-12-09,3.24,12,0.5,0.544,0.5,0.6509999999999999,0.0,0.129,-6.224,0.316,89.99600000000001,4,2016,True
Go Flex,Stoney (Deluxe),Post Malone,2016-12-09,2.99,4,0.6679999999999999,0.253,0.6679999999999999,0.49,0.0,0.0718,-8.274,0.11900000000000001,81.985,4,2016,True
Feel,Stoney (Deluxe),Post Malone,2016-12-09,3.29,1,0.581,0.244,0.581,0.498,5.41e-06,0.077,-8.279,0.0527,120.01799999999999,4,2016,True
Too Young,Stoney (Deluxe),Post Malone,2016-12-09,3.95,12,0.606,0.293,0.606,0.631,7.950000000000001e-05,0.0834,-6.475,0.0607,123.01799999999999,4,2016,True
Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,3.67,4,0.624,0.182,0.624,0.8059999999999999,0.0,0.299,-4.271,0.0364,123.117,4,2016,True
Up There,Stoney (Deluxe),Post Malone,2016-12-09,3.25,1,0.6509999999999999,0.415,0.6509999999999999,0.37,1.2e-05,0.0923,-8.222999999999999,0.0311,72.944,4,2016,True
"Yours Truly, Austin Post",Stoney (Deluxe),Post Malone,2016-12-09,3.65,0,0.649,0.45,0.649,0.655,1.28e-06,0.168,-5.757000000000001,0.0654,126.02600000000001,4,2016,True
Leave,Stoney (Deluxe),Post Malone,2016-12-09,5.41,2,0.5379999999999999,0.226,0.5379999999999999,0.5760000000000001,7.35e-05,0.132,-7.1610000000000005,0.0231,90.09,4,2016,True
Hit This Hard,Stoney (Deluxe),Post Malone,2016-12-09,4.15,1,0.623,0.292,0.623,0.564,0.00225,0.0837,-8.951,0.0553,140.03,4,2016,True
Money Made Me Do It,Stoney (Deluxe),Post Malone,2016-12-09,3.75,12,0.575,0.324,0.575,0.43,0.0,0.0673,-6.526,0.23800000000000002,120.105,3,2016,True
Feeling Whitney,Stoney (Deluxe),Post Malone,2016-12-09,4.29,14,0.433,0.81,0.433,0.223,3.67e-06,0.22899999999999998,-12.616,0.0375,81.03,4,2016,True
