name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Diamonds,Unapologetic (Deluxe),Rihanna,2012-12-11,3.75,74,0.564,0.00125,0.564,0.71,0.0,0.109,-4.92,0.0461,91.97200000000001,4,2012,True
Bitch Better Have My Money,Bitch Better Have My Money,Rihanna,2015-03-26,3.66,15,0.7809999999999999,0.0509,0.7809999999999999,0.728,1.94e-06,0.257,-4.981,0.0621,102.99,4,2015,True
Where Have You Been,Talk That Talk (Deluxe),Rihanna,2012-07-18,4.04,14,0.7190000000000001,0.00201,0.7190000000000001,0.847,0.0204,0.223,-6.34,0.0916,127.963,4,2012,True
Rude Boy,Rated R,Rihanna,2009-11-20,3.72,13,0.563,0.113,0.563,0.75,0.0,0.0788,-4.496,0.127,173.90599999999998,4,2009,True
S&M,Loud,Rihanna,2010-11-16,4.06,73,0.7659999999999999,0.0113,0.7659999999999999,0.682,0.00016,0.10400000000000001,-5.02,0.0419,127.96600000000001,4,2010,True
Needed Me,ANTI,Rihanna,2016-01-28,3.19,15,0.6709999999999999,0.11,0.6709999999999999,0.314,0.0,0.0825,-8.091000000000001,0.244,110.898,4,2016,True
This Is What You Came For,This Is What You Came For,Calvin Harris,2016-04-29,3.7,80,0.63,0.19899999999999998,0.63,0.9279999999999999,0.124,0.14800000000000002,-2.787,0.0331,123.963,4,2016,False
Wild Thoughts,Wild Thoughts,DJ Khaled,2017-06-16,3.41,17,0.613,0.0287,0.613,0.6809999999999999,0.0,0.126,-3.089,0.0778,97.62100000000001,4,2017,False
What's My Name?,Loud,Rihanna,2010-11-16,4.39,69,0.69,0.22899999999999998,0.69,0.7859999999999999,0.0,0.0797,-2.9589999999999996,0.0692,100.04899999999999,4,2010,True
Work,ANTI (Deluxe),Rihanna,2016-01-28,3.66,17,0.725,0.0752,0.725,0.534,0.0,0.0919,-6.2379999999999995,0.0946,91.97399999999999,4,2016,True
We Found Love,Talk That Talk (Deluxe),Rihanna,2012-07-18,3.59,20,0.7340000000000001,0.025,0.7340000000000001,0.7659999999999999,0.0013800000000000002,0.10800000000000001,-4.485,0.0383,127.986,4,2012,True
Stay,Unapologetic (Deluxe),Rihanna,2012-12-11,4.01,76,0.621,0.945,0.621,0.31,6.12e-05,0.11699999999999999,-10.164,0.0283,111.89299999999999,4,2012,True
Only Girl (In The World),Loud,Rihanna,2010-11-16,3.92,72,0.789,0.13,0.789,0.716,1.09e-05,0.069,-4.2410000000000005,0.0434,125.91,4,2010,True
Umbrella,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,4.6,17,0.583,0.00864,0.583,0.8290000000000001,0.0,0.0426,-4.603,0.134,174.028,4,2008,True
FourFiveSeconds,FourFiveSeconds,Rihanna,2015-01-24,3.14,23,0.579,0.868,0.579,0.268,0.0,0.12,-5.65,0.0442,205.903,4,2015,True
Unfaithful,A Girl Like Me,Rihanna,2006-04-10,3.74,15,0.588,0.8390000000000001,0.588,0.391,0.0,0.195,-8.596,0.0334,144.053,4,2006,True
Disturbia,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,3.98,15,0.7070000000000001,0.0863,0.7070000000000001,0.813,0.0,0.168,-4.515,0.0571,124.921,4,2008,True
"Sledgehammer - From The Motion Picture ""Star Trek Beyond""","Sledgehammer (From The Motion Picture ""Star Trek Beyond"")",Rihanna,2016-06-27,3.52,9,0.364,0.495,0.364,0.8240000000000001,0.0,0.26,-3.0989999999999998,0.107,131.451,4,2016,True
Kiss It Better,ANTI,Rihanna,2016-01-28,4.22,9,0.619,0.272,0.619,0.8059999999999999,0.0,0.0671,-4.8,0.0483,95.0,4,2016,True
Hate That I Love You,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,3.65,12,0.637,0.32299999999999995,0.637,0.73,0.0,0.0981,-5.38,0.0874,93.867,4,2008,True
Nothing Is Promised,Nothing Is Promised,Mike WiLL Made-It,2016-06-03,2.84,7,0.74,0.007390000000000001,0.74,0.49700000000000005,1.27e-06,0.0985,-7.595,0.121,135.148,4,2016,False
We Ride,A Girl Like Me,Rihanna,2006-04-10,3.94,8,0.39399999999999996,0.00175,0.39399999999999996,0.7440000000000001,0.0,0.308,-5.465,0.276,78.696,4,2006,True
What Now,Unapologetic (Deluxe),Rihanna,2012-12-11,4.05,64,0.402,0.0476,0.402,0.696,0.0,0.628,-4.7989999999999995,0.0448,180.158,3,2012,True
SOS,A Girl Like Me,Rihanna,2006-04-10,3.98,11,0.677,0.004,0.677,0.6709999999999999,5.07e-05,0.413,-4.905,0.0361,137.046,4,2006,True
Don't Stop The Music,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,4.45,18,0.835,0.0336,0.835,0.669,6.92e-05,0.0535,-5.582000000000001,0.0643,122.66799999999999,4,2008,True
Take A Bow,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,3.82,12,0.6970000000000001,0.248,0.6970000000000001,0.467,0.0,0.0941,-7.5360000000000005,0.0715,82.081,4,2008,True
Desperado,ANTI,Rihanna,2016-01-28,3.11,8,0.685,0.32299999999999995,0.685,0.61,0.0,0.102,-5.221,0.0439,94.384,3,2016,True
Russian Roulette,Rated R,Rihanna,2009-11-20,3.79,10,0.48,0.046,0.48,0.486,0.0,0.107,-5.754,0.0447,80.051,4,2009,True
Rehab,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,4.91,9,0.583,0.00321,0.583,0.792,4.92e-05,0.315,-5.894,0.0533,80.055,4,2008,True
Pon de Replay,Music Of The Sun,Rihanna,2005-08-29,4.12,14,0.779,0.000155,0.779,0.64,0.0007700000000000001,0.10099999999999999,-8.415,0.159,99.01899999999999,4,2005,True
American Oxygen,American Oxygen,Rihanna,2015-04-14,5.34,8,0.23199999999999998,0.0508,0.23199999999999998,0.7440000000000001,0.0,0.266,-6.227,0.114,78.921,4,2015,True
Right Now,Unapologetic (Deluxe),Rihanna,2012-12-11,3.03,63,0.6679999999999999,0.049,0.6679999999999999,0.64,0.0,0.0675,-5.207999999999999,0.0888,130.004,4,2012,True
Princess of China - Radio Edit,Princess of China,Coldplay,2012-06-01,3.63,60,0.402,0.0017100000000000001,0.402,0.7,0.006409999999999999,0.191,-5.917999999999999,0.0361,85.025,4,2012,False
California King Bed,Loud,Rihanna,2010-11-16,4.19,68,0.467,0.218,0.467,0.586,0.0,0.12,-3.9419999999999997,0.0357,169.93,4,2010,True
You Da One,Talk That Talk (Deluxe),Rihanna,2012-07-18,3.33,8,0.7020000000000001,0.503,0.7020000000000001,0.715,2.44e-05,0.126,-5.377000000000001,0.0425,127.05,4,2012,True
Shut Up And Drive,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,3.54,9,0.735,0.00101,0.735,0.826,0.129,0.19699999999999998,-4.902,0.0349,132.964,4,2008,True
Break It Off,The Trinity,Sean Paul,2005-09-26,3.59,53,0.899,0.0155,0.899,0.7240000000000001,0.0,0.0453,-5.757000000000001,0.20199999999999999,133.95,4,2005,False
Man Down,Loud,Rihanna,2010-11-16,4.45,70,0.47700000000000004,0.0437,0.47700000000000004,0.904,0.0,0.0491,-4.024,0.177,155.781,4,2010,True
No Love Allowed,Unapologetic,Rihanna,2012-12-11,4.15,39,0.583,0.36200000000000004,0.583,0.48200000000000004,4.14e-05,0.0938,-9.164,0.0987,90.48299999999999,4,2012,True
Can't Remember to Forget You (feat. Rihanna),Shakira. (Expanded Edition),Shakira,2014-03-14,3.45,62,0.6940000000000001,0.122,0.6940000000000001,0.81,0.0,0.141,-3.556,0.0661,137.968,4,2014,False
Raining Men,Loud,Rihanna,2010-11-16,3.75,51,0.655,0.015,0.655,0.802,0.0,0.337,-4.8180000000000005,0.17600000000000002,157.93200000000002,4,2010,True
Nobody's Business,Unapologetic,Rihanna,2012-12-11,3.6,41,0.741,0.0362,0.741,0.6,0.0,0.0562,-5.792000000000001,0.0412,109.23299999999999,4,2012,True
Loveeeeeee Song,Unapologetic,Rihanna,2012-12-11,4.27,43,0.71,0.508,0.71,0.598,0.0,0.0971,-7.598,0.0319,119.98100000000001,4,2012,True
Pour It Up,Unapologetic (Deluxe),Rihanna,2012-12-11,2.69,64,0.785,0.0254,0.785,0.478,0.0,0.0901,-8.735,0.0419,134.002,4,2012,True
Birthday Cake,Talk That Talk,Rihanna,2011-11-19,1.3,0,0.7020000000000001,0.32,0.7020000000000001,0.826,0.000227,0.355,-6.497999999999999,0.0529,80.014,4,2011,True
Cockiness (Love It) Remix,Cockiness (Love It) Remix [Explicit Version],Rihanna,2012-09-07,3.65,38,0.654,0.008879999999999999,0.654,0.617,0.0009019999999999999,0.0997,-9.935,0.10099999999999999,124.948,4,2012,True
Nothing Is Promised (with Rihanna),Ransom 2,Mike WiLL Made-It,2017-03-24,2.85,0,0.753,0.0096,0.753,0.499,1.41e-06,0.0994,-7.6,0.0976,135.00799999999998,4,2017,False
Consideration,ANTI,Rihanna,2016-01-28,2.68,4,0.883,0.0392,0.883,0.584,4.39e-06,0.0869,-2.102,0.0465,144.975,4,2016,True
Shut Up and Drive - Radio Edit,Shut Up and Drive,Rihanna,2007-06-12,3.55,31,0.7390000000000001,0.0008380000000000001,0.7390000000000001,0.823,0.0931,0.217,-4.9,0.0357,132.981,4,2007,True
S&M Remix,S&M Remix,Rihanna,2011-04-11,4.29,2,0.8190000000000001,0.0609,0.8190000000000001,0.7959999999999999,0.0,0.0647,-3.397,0.0546,127.931,4,2011,True
Breakin' Dishes,Good Girl Gone Bad: Reloaded,Rihanna,2008-06-02,3.34,0,0.8009999999999999,0.00028199999999999997,0.8009999999999999,0.674,0.000139,0.0914,-4.185,0.0311,125.009,4,2008,True
If I Never See Your Face Again - Featuring Rihanna,If I Never See Your Face Again,Maroon 5,2008-01-01,3.31,0,0.767,0.004079999999999999,0.767,0.807,1.19e-06,0.11699999999999999,-3.0660000000000003,0.0389,106.008,4,2008,False
Princess of China,Mylo Xyloto,Coldplay,2011-10-24,3.99,68,0.425,0.00385,0.425,0.69,0.0154,0.287,-6.221,0.0351,84.99,4,2011,False
Take Care,Take Care (Deluxe),Drake,2011-11-15,4.62,72,0.629,0.0267,0.629,0.515,1.22e-05,0.0888,-10.357999999999999,0.265,121.845,4,2011,False
Too Good,Views,Drake,2016-05-06,4.39,14,0.804,0.0573,0.804,0.648,3.4899999999999995e-05,0.102,-7.805,0.11699999999999999,117.98299999999999,4,2016,False
Wild Thoughts (feat. Rihanna & Bryson Tiller),Grateful,DJ Khaled,2017-06-22,3.4,75,0.6709999999999999,0.0329,0.6709999999999999,0.672,0.0,0.11800000000000001,-3.094,0.0688,97.98,4,2017,False
Sex With Me,ANTI (Deluxe),Rihanna,2016-01-28,3.44,5,0.58,0.294,0.58,0.532,0.0,0.0948,-5.667999999999999,0.0424,112.04899999999999,4,2016,True
Selfish (feat. Rihanna),HNDRXX,Future,2017-08-04,4.19,31,0.415,0.0303,0.415,0.369,7.64e-06,0.38299999999999995,-10.044,0.0741,95.74600000000001,4,2017,False
Live Your Life (feat. Rihanna),Paper Trail,T.I.,2008-09-08,5.65,76,0.375,0.071,0.375,0.862,0.0,0.21100000000000002,-3.363,0.255,159.841,4,2008,False
All Of The Lights,My Beautiful Dark Twisted Fantasy,Kanye West,2010-01-01,4.99,76,0.541,0.0796,0.541,0.8029999999999999,1.7100000000000002e-05,0.17600000000000002,-3.284,0.0738,142.135,4,2010,False
LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar,2017-04-14,3.79,6,0.6809999999999999,0.021,0.6809999999999999,0.523,0.0,0.17800000000000002,-8.963,0.0542,110.81200000000001,4,2017,False
Lemon,Lemon,N.E.R.D,2017-11-01,3.66,7,0.919,0.0019399999999999999,0.919,0.73,8.51e-05,0.10099999999999999,-6.581,0.08800000000000001,95.044,4,2017,False
Pose - Deadly Zoo Remix,Pose (Dance Remixes),Rihanna,2017-04-14,2.93,30,0.747,0.00392,0.747,0.8109999999999999,0.00322,0.0887,-4.569,0.0479,90.01700000000001,4,2017,True
Who's That Chick ? (feat. Rihanna),One More Love,David Guetta,2010-11-22,3.35,1,0.675,0.00372,0.675,0.601,0.0,0.0458,-4.7330000000000005,0.11599999999999999,127.93799999999999,4,2010,False
Jump,Unapologetic (Deluxe),Rihanna,2012-12-11,4.41,52,0.629,0.22899999999999998,0.629,0.8190000000000001,0.0070599999999999994,0.16899999999999998,-6.181,0.25,162.048,4,2012,True
Love Without Tragedy / Mother Mary,Unapologetic (Deluxe),Rihanna,2012-12-11,6.98,49,0.542,0.0747,0.542,0.66,0.0,0.184,-6.4670000000000005,0.0357,127.891,4,2012,True
The Monster,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,4.17,16,0.784,0.0492,0.784,0.85,0.0,0.11199999999999999,-3.679,0.0691,110.00399999999999,4,2013,False
Love The Way You Lie,Recovery,Eminem,2010-06-18,4.39,18,0.746,0.24600000000000002,0.746,0.922,0.0,0.515,-5.013999999999999,0.23600000000000002,86.961,4,2010,False
Love On The Brain,ANTI (Deluxe),Rihanna,2016-01-28,3.73,18,0.509,0.0717,0.509,0.637,1.0800000000000002e-05,0.0789,-4.83,0.0471,172.00599999999997,3,2016,True
Higher,ANTI (Deluxe),Rihanna,2016-01-28,2.01,1,0.292,0.11199999999999999,0.292,0.5670000000000001,1.01e-06,0.11900000000000001,-4.191,0.0416,153.19899999999998,3,2016,True
Redemption Song - For Haiti Relief (Live From Oprah),Redemption Song [For Haiti Relief (Live From Oprah)],Rihanna,2010-01-27,2.83,31,0.39799999999999996,0.374,0.39799999999999996,0.428,0.0,0.0938,-9.463,0.0349,111.71600000000001,4,2010,True
P.S. (I'm Still Not Over You),A Girl Like Me,Rihanna,2006-04-10,4.17,48,0.759,0.0803,0.759,0.40700000000000003,0.0,0.10400000000000001,-8.427,0.0481,88.081,4,2006,True
Hate That I Love You - Spanglish Version,Hate That I Love You (Spanglish Version),Rihanna,2007-08-22,3.69,40,0.6859999999999999,0.109,0.6859999999999999,0.741,0.0,0.0958,-5.35,0.0674,94.02,4,2007,True
