name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Cheap Thrills,This Is Acting,Sia,2016-01-29,3.53,77,0.628,0.0472,0.628,0.698,0.00143,0.0907,-5.608,0.105,89.976,4,2016,True
Chandelier,1000 Forms Of Fear,Sia,2014-07-04,3.6,80,0.39899999999999997,0.0197,0.39899999999999997,0.787,6.07e-05,0.0685,-2.88,0.0499,117.089,5,2014,True
Thunderclouds,Thunderclouds,Sia,2018-08-09,3.12,23,0.691,0.0085,0.691,0.716,9.06e-06,0.263,-5.985,0.0351,112.035,4,2018,True
Elastic Heart,1000 Forms Of Fear,Sia,2014-07-04,4.29,73,0.42100000000000004,0.0117,0.42100000000000004,0.7909999999999999,1.4800000000000002e-05,0.146,-4.998,0.0496,130.075,4,2014,True
The Greatest,This Is Acting (Deluxe Version),Sia,2016-10-21,3.5,76,0.6679999999999999,0.0102,0.6679999999999999,0.725,0.000479,0.0561,-6.127000000000001,0.266,191.94400000000002,4,2016,True
Titanium (feat. Sia),Nothing but the Beat Ultimate,David Guetta,2011-08-26,4.08,65,0.604,0.0679,0.604,0.787,0.15,0.127,-3.674,0.10300000000000001,126.06200000000001,4,2011,False
Genius,Genius,Sia,2018-05-03,3.55,16,0.622,0.0864,0.622,0.621,9.8e-05,0.121,-4.9239999999999995,0.129,158.946,4,2018,True
Flames,Flames,David Guetta,2018-03-22,3.25,77,0.609,0.0723,0.609,0.726,8.45e-06,0.0895,-4.346,0.0414,93.958,4,2018,False
Helium (Sia vs. David Guetta & Afrojack),Helium (Sia vs. David Guetta & Afrojack),Sia,2018-01-25,3.96,65,0.542,0.0977,0.542,0.5870000000000001,0.0,0.2,-6.145,0.035,136.915,4,2018,True
Audio,Audio,Sia,2018-05-10,3.39,17,0.365,0.192,0.365,0.6920000000000001,1.51e-06,0.0862,-4.586,0.0671,89.99799999999999,4,2018,True
Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,2017-09-07,3.98,83,0.258,0.10099999999999999,0.258,0.43700000000000006,1.27e-06,0.106,-6.593,0.039,180.043,4,2017,False
Move Your Body - Single Mix,Move Your Body,Sia,2017-01-06,4.2,64,0.664,0.00151,0.664,0.883,0.0926,0.07200000000000001,-3.406,0.0353,127.962,4,2017,True
"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Fifty Shades Darker (Original Motion Picture Soundtrack),Various Artists,2017-02-10,4.21,19,0.409,0.461,0.409,0.413,0.0,0.0765,-6.722,0.0296,137.02,4,2017,False
Never Give Up,"Never Give Up (From ""Lion"" Soundtrack)",Sia,2016-11-18,3.7,68,0.568,0.0049700000000000005,0.568,0.9359999999999999,0.0138,0.12,-2.9610000000000003,0.053,91.009,4,2016,True
Waterfall,Waterfall,Stargate,2017-03-10,3.33,63,0.37200000000000005,0.0987,0.37200000000000005,0.919,0.0,0.23399999999999999,-1.68,0.3,182.785,4,2017,False
Wild Ones (feat. Sia),Wild Ones,Flo Rida,2012-06-22,3.88,76,0.608,0.0991,0.608,0.86,0.0,0.262,-5.324,0.0554,127.075,4,2012,False
Alive,This Is Acting,Sia,2016-01-29,4.39,60,0.508,0.254,0.508,0.762,0.000122,0.10800000000000001,-4.217,0.0489,99.963,4,2016,True
Breathe Me,Colour The Small One,Sia,2004-01-01,4.55,69,0.552,0.0364,0.552,0.643,0.74,0.105,-7.36,0.0327,120.012,4,2004,True
She Wolf (Falling to Pieces) (feat. Sia),Nothing but the Beat 2.0,David Guetta,2011-08-26,3.71,54,0.49200000000000005,0.0841,0.49200000000000005,0.857,7.82e-06,0.344,-2.634,0.0655,129.97299999999998,4,2011,False
Big Girls Cry,1000 Forms Of Fear,Sia,2014-07-04,3.51,64,0.469,0.0393,0.469,0.5920000000000001,0.0,0.105,-4.962,0.0399,161.996,4,2014,True
Bird Set Free,This Is Acting,Sia,2016-01-29,4.21,59,0.43799999999999994,0.0115,0.43799999999999994,0.805,0.000667,0.133,-4.284,0.0728,150.174,4,2016,True
Beautiful Pain,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,4.42,11,0.682,0.0665,0.682,0.813,0.0,0.136,-4.5489999999999995,0.44299999999999995,165.43900000000002,4,2013,False
Unstoppable,This Is Acting,Sia,2016-01-29,3.63,63,0.46799999999999997,0.11199999999999999,0.46799999999999997,0.779,0.000373,0.10099999999999999,-4.8389999999999995,0.0779,173.799,4,2016,True
I Love It,Drinking From The Sun,Hilltop Hoods,2012-01-01,3.77,10,0.6829999999999999,0.00486,0.6829999999999999,0.87,0.0,0.33399999999999996,-6.19,0.0714,90.99799999999999,4,2012,False
Angel By The Wings,Angel By The Wings,Sia,2016-12-02,5.32,63,0.522,0.294,0.522,0.53,5.19e-05,0.0997,-4.812,0.033,104.039,4,2016,True
California Dreamin',San Andreas: Original Motion Picture Soundtrack,Andrew Lockington,2015-05-12,3.6,12,0.29100000000000004,0.275,0.29100000000000004,0.635,2.6899999999999997e-05,0.33399999999999996,-6.846,0.0371,111.852,4,2015,False
The Girl You Lost To Cocaine,Some People Have REAL Problems,Sia,2008-01-01,2.67,7,0.669,0.00922,0.669,0.693,0.00011399999999999999,0.0614,-5.018,0.0451,110.39200000000001,4,2008,True
Fire Meet Gasoline,1000 Forms Of Fear,Sia,2014-07-04,4.02,63,0.418,0.00598,0.418,0.764,0.0,0.149,-3.307,0.0559,175.669,3,2014,True
Golden (feat. Sia),Golden (feat. Sia),Travie McCoy,2015-06-15,3.59,58,0.602,0.0142,0.602,0.7390000000000001,0.0,0.371,-5.655,0.0601,82.008,4,2015,False
Eye of the Needle,1000 Forms Of Fear,Sia,2014-07-04,4.15,57,0.495,0.141,0.495,0.7,0.0,0.102,-5.638999999999999,0.14400000000000002,144.42600000000002,4,2014,True
Clap Your Hands,We Are Born,Sia,2010-06-18,3.97,55,0.6990000000000001,0.000532,0.6990000000000001,0.87,0.0219,0.359,-4.925,0.0546,120.03299999999999,4,2010,True
