name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Lover - First Dance Remix,Lover (First Dance Remix),Taylor Swift,2019-11-26,3.89,64,0.506,0.687,0.506,0.425,1.08e-06,0.158,-8.198,0.0343,68.449,4,2019,True
Lover (Remix) [feat. Shawn Mendes],Lover (Remix) [feat. Shawn Mendes],Taylor Swift,2019-11-13,3.69,88,0.44799999999999995,0.433,0.44799999999999995,0.603,0.0,0.0862,-7.176,0.064,205.27200000000002,3,2019,True
"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""","Beautiful Ghosts (From The Motion Picture ""Cats"")",Taylor Swift,2019-11-15,4.35,70,0.368,0.85,0.368,0.23800000000000002,0.0,0.0974,-8.976,0.0599,187.05,3,2019,True
I Forgot That You Existed,Lover,Taylor Swift,2019-08-23,2.84,82,0.664,0.298,0.664,0.316,2.03e-06,0.0812,-10.345,0.519,92.875,4,2019,True
Cruel Summer,Lover,Taylor Swift,2019-08-23,2.97,82,0.552,0.11699999999999999,0.552,0.7020000000000001,2.0600000000000003e-05,0.105,-5.707000000000001,0.157,169.99400000000003,4,2019,True
Lover,Lover,Taylor Swift,2019-08-23,3.69,88,0.359,0.49200000000000005,0.359,0.5429999999999999,1.58e-05,0.11800000000000001,-7.582000000000001,0.0919,68.53399999999999,4,2019,True
The Man,Lover,Taylor Swift,2019-08-23,3.17,83,0.777,0.0767,0.777,0.6579999999999999,0.0,0.0901,-5.191,0.054000000000000006,110.04799999999999,4,2019,True
The Archer,Lover,Taylor Swift,2019-08-23,3.52,79,0.292,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,4,2019,True
I Think He Knows,Lover,Taylor Swift,2019-08-23,2.89,78,0.897,0.00889,0.897,0.366,0.00035299999999999996,0.0715,-8.029,0.0569,100.00299999999999,4,2019,True
Miss Americana & The Heartbreak Prince,Lover,Taylor Swift,2019-08-23,3.9,78,0.662,0.027999999999999997,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,4,2019,True
Paper Rings,Lover,Taylor Swift,2019-08-23,3.71,79,0.8109999999999999,0.0129,0.8109999999999999,0.7190000000000001,1.36e-05,0.0742,-6.553,0.0497,103.979,4,2019,True
Cornelia Street,Lover,Taylor Swift,2019-08-23,4.79,78,0.8240000000000001,0.7809999999999999,0.8240000000000001,0.624,0.00018899999999999999,0.1,-9.728,0.0827,102.012,4,2019,True
Death By A Thousand Cuts,Lover,Taylor Swift,2019-08-23,3.31,77,0.7120000000000001,0.45399999999999996,0.7120000000000001,0.732,0.0,0.319,-6.754,0.0629,94.071,4,2019,True
London Boy,Lover,Taylor Swift,2019-08-23,3.17,78,0.695,0.0246,0.695,0.71,0.00010400000000000001,0.133,-6.638999999999999,0.05,157.925,4,2019,True
Soon You’ll Get Better (feat. Dixie Chicks),Lover,Taylor Swift,2019-08-23,3.36,74,0.433,0.907,0.433,0.182,0.0,0.12300000000000001,-12.565999999999999,0.0641,207.476,4,2019,True
False God,Lover,Taylor Swift,2019-08-23,3.34,76,0.7390000000000001,0.736,0.7390000000000001,0.32,0.000147,0.111,-10.862,0.239,79.97,4,2019,True
You Need To Calm Down,Lover,Taylor Swift,2019-08-23,2.86,88,0.7709999999999999,0.009290000000000001,0.7709999999999999,0.6709999999999999,0.0,0.0637,-5.617000000000001,0.0553,85.02600000000001,4,2019,True
Afterglow,Lover,Taylor Swift,2019-08-23,3.72,77,0.7559999999999999,0.13,0.7559999999999999,0.449,0.0,0.114,-8.746,0.0344,111.01100000000001,4,2019,True
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,2019-08-23,3.22,86,0.61,0.033,0.61,0.83,0.0,0.11800000000000001,-4.105,0.0571,182.162,4,2019,True
It’s Nice To Have A Friend,Lover,Taylor Swift,2019-08-23,2.51,73,0.737,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,4,2019,True
Daylight,Lover,Taylor Swift,2019-08-23,4.89,75,0.557,0.8079999999999999,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,4,2019,True
You Need To Calm Down - Clean Bandit Remix,You Need To Calm Down (Clean Bandit Remix),Taylor Swift,2019-08-20,2.55,57,0.726,0.07200000000000001,0.726,0.88,0.000462,0.0906,-4.137,0.0581,95.037,4,2019,True
...Ready For It?,reputation,Taylor Swift,2017-11-10,3.47,70,0.613,0.0527,0.613,0.764,0.0,0.19699999999999998,-6.5089999999999995,0.136,160.015,4,2017,True
Blank Space,1989 (Deluxe Edition),Taylor Swift,2014-10-27,3.86,60,0.76,0.10300000000000001,0.76,0.703,0.0,0.0913,-5.412000000000001,0.054000000000000006,95.99700000000001,4,2014,True
Bad Blood,Bad Blood,Taylor Swift,2015-05-17,3.34,65,0.654,0.0294,0.654,0.655,0.0,0.139,-7.388,0.106,170.16,4,2015,True
Shake It Off,1989 (Deluxe Edition),Taylor Swift,2014-10-27,3.65,58,0.647,0.0647,0.647,0.8,0.0,0.33399999999999996,-5.3839999999999995,0.165,160.078,4,2014,True
You Belong With Me,Fearless Platinum Edition,Taylor Swift,2008-11-11,3.85,56,0.687,0.16399999999999998,0.687,0.7709999999999999,2.46e-05,0.11199999999999999,-4.4239999999999995,0.0384,129.964,4,2008,True
We Are Never Ever Getting Back Together,Red (Deluxe Edition),Taylor Swift,2012-10-22,3.2,59,0.628,0.00957,0.628,0.6759999999999999,2.65e-05,0.102,-5.9110000000000005,0.0916,85.984,4,2012,True
Mean,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,3.96,54,0.568,0.452,0.568,0.7609999999999999,0.0,0.217,-3.987,0.0459,163.97400000000002,4,2010,True
I Knew You Were Trouble.,Red (Deluxe Edition),Taylor Swift,2012-10-22,3.63,59,0.622,0.00454,0.622,0.469,2.25e-06,0.0398,-6.797999999999999,0.0363,77.01899999999999,4,2012,True
22,Red (Deluxe Edition),Taylor Swift,2012-10-22,3.84,61,0.6579999999999999,0.00215,0.6579999999999999,0.7290000000000001,0.0013,0.0752,-6.561,0.0378,104.007,4,2012,True
End Game,reputation,Taylor Swift,2017-11-10,4.08,70,0.649,0.00845,0.649,0.589,0.0,0.10800000000000001,-6.237,0.0558,159.07299999999998,4,2017,True
The Story Of Us,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,4.43,54,0.5429999999999999,0.0047799999999999995,0.5429999999999999,0.818,0.000368,0.0357,-3.611,0.0398,139.898,4,2010,True
Style,1989 (Deluxe Edition),Taylor Swift,2014-10-27,3.85,58,0.588,0.00245,0.588,0.7909999999999999,0.0025800000000000003,0.11800000000000001,-5.595,0.0402,94.93299999999999,4,2014,True
Speak Now,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,4.01,54,0.7090000000000001,0.095,0.7090000000000001,0.599,0.0,0.0973,-3.734,0.0304,118.975,4,2010,True
Out Of The Woods,1989 (Deluxe Edition),Taylor Swift,2014-10-27,3.93,56,0.5529999999999999,0.000743,0.5529999999999999,0.841,1.1900000000000001e-05,0.341,-6.937,0.0396,92.008,4,2014,True
Wildest Dreams,1989 (Deluxe Edition),Taylor Swift,2014-10-27,3.67,57,0.55,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,4,2014,True
Love Story,Fearless Platinum Edition,Taylor Swift,2008-11-11,3.92,54,0.618,0.157,0.618,0.736,0.0,0.073,-3.937,0.0308,118.98200000000001,4,2008,True
I Don’t Wanna Live Forever (Fifty Shades Darker),Fifty Shades Darker (Original Motion Picture Soundtrack),Various Artists,2017-02-10,4.09,72,0.7340000000000001,0.0594,0.7340000000000001,0.442,1.63e-05,0.213,-8.432,0.0557,117.96700000000001,4,2017,False
Picture To Burn,Taylor Swift,Taylor Swift,2006-10-24,2.88,61,0.6579999999999999,0.17300000000000001,0.6579999999999999,0.877,0.0,0.0962,-2.0980000000000003,0.0323,105.586,4,2006,True
Ours,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,3.97,56,0.608,0.537,0.608,0.569,0.0,0.09699999999999999,-7.227,0.0284,159.845,4,2010,True
