name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,feature
Adaptation,Kiss Land,The Weeknd,2013-01-01,4.73,53,0.642,0.151,0.642,0.79,0.000583,0.305,-6.8,0.0681,114.96,4,2013,True
The Town,Kiss Land,The Weeknd,2013-01-01,5.12,52,0.625,0.361,0.625,0.524,2.67e-06,0.0826,-8.227,0.0369,139.968,4,2013,True
Love In The Sky,Kiss Land,The Weeknd,2013-01-01,4.47,60,0.644,0.16,0.644,0.736,0.000156,0.6,-6.862,0.0514,115.03200000000001,4,2013,True
Live For,Kiss Land,The Weeknd,2013-01-01,3.71,61,0.626,0.517,0.626,0.68,0.0,0.114,-7.64,0.11199999999999999,75.97800000000001,4,2013,True
Kiss Land,Kiss Land,The Weeknd,2013-01-01,7.59,55,0.324,0.0415,0.324,0.852,0.0,0.061,-6.675,0.109,121.881,4,2013,True
Pretty,Kiss Land,The Weeknd,2013-01-01,6.26,60,0.58,0.0355,0.58,0.685,3.4200000000000005e-05,0.315,-6.829,0.0394,125.96799999999999,4,2013,True
Tears In The Rain,Kiss Land,The Weeknd,2013-01-01,7.41,53,0.655,0.109,0.655,0.636,0.237,0.0842,-7.84,0.0453,160.01,4,2013,True
High For This,Trilogy,The Weeknd,2012-01-01,4.12,69,0.465,0.7440000000000001,0.465,0.40299999999999997,0.000667,0.0777,-8.895,0.0755,74.95,4,2012,True
What You Need,Trilogy,The Weeknd,2012-01-01,3.27,66,0.657,0.525,0.657,0.405,0.07200000000000001,0.146,-8.637,0.0584,133.895,4,2012,True
Wicked Games,Trilogy,The Weeknd,2012-01-01,5.4,75,0.6579999999999999,0.009590000000000001,0.6579999999999999,0.591,5.27e-06,0.325,-5.197,0.0309,114.07799999999999,4,2012,True
The Party & The After Party,Trilogy,The Weeknd,2012-01-01,7.66,62,0.43799999999999994,0.47600000000000003,0.43799999999999994,0.634,0.0,0.113,-7.456,0.337,203.585,4,2012,True
