,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Bad To You (with Normani & Nicki Minaj),Charlie's Angels (Original Motion Picture Soundtrack),Various Artists,2019-11-01,171840,84,0.727,0.065,0.727,0.583,0.0,0.106,-7.385,0.0718,147.983,4
1,7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,90,0.778,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,4
2,boyfriend (with Social House),boyfriend,Ariana Grande,2019-08-02,186106,88,0.4,0.119,0.4,0.795,0.0,0.159,-3.731,0.461,190.097,4
3,"thank u, next","thank u, next",Ariana Grande,2019-02-08,207320,88,0.717,0.229,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,4
4,"break up with your girlfriend, i'm bored","thank u, next",Ariana Grande,2019-02-08,190440,85,0.726,0.0421,0.726,0.554,0.0,0.106,-5.29,0.0917,169.999,4
5,God is a woman,Sweetener,Ariana Grande,2018-08-17,197546,82,0.602,0.0233,0.602,0.658,6e-05,0.237,-5.934,0.0558,145.031,4
6,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Don’t Call Me Angel (Charlie’s Angels),Ariana Grande,2019-09-13,190106,83,0.643,0.00268,0.643,0.721,6.51e-06,0.0898,-5.248,0.0449,102.914,4
7,no tears left to cry,Sweetener,Ariana Grande,2018-08-17,205920,84,0.699,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,121.993,4
8,breathin,Sweetener,Ariana Grande,2018-08-17,198160,80,0.568,0.0211,0.568,0.656,1.37e-05,0.213,-5.413,0.0433,100.049,4
9,Into You,Dangerous Woman,Ariana Grande,2016-05-20,244453,19,0.636,0.0161,0.636,0.727,1.12e-06,0.151,-5.852,0.106,107.988,4
10,One Last Time,My Everything,Ariana Grande,2014-08-21,197253,13,0.624,0.115,0.624,0.618,3.3e-06,0.104,-4.868,0.0322,125.036,4
11,Dangerous Woman,Dangerous Woman,Ariana Grande,2016-05-20,235946,15,0.677,0.0612,0.677,0.604,0.0,0.353,-5.32,0.0385,134.052,3
12,Side To Side,Dangerous Woman,Ariana Grande,2016-05-20,226160,20,0.648,0.0408,0.648,0.738,0.0,0.292,-5.883,0.247,159.145,4
13,needy,"thank u, next",Ariana Grande,2019-02-08,171573,78,0.647,0.78,0.647,0.309,7.41e-06,0.202,-7.948,0.0366,87.045,4
14,Love Me Harder,My Everything,Ariana Grande,2014-08-21,236133,12,0.476,0.0102,0.476,0.72,0.0,0.0639,-4.357,0.0346,99.054,4
15,NASA,"thank u, next",Ariana Grande,2019-02-08,182000,77,0.747,0.451,0.747,0.458,0.0,0.252,-6.891,0.303,75.029,4
16,MONOPOLY (with Victoria Monét),MONOPOLY,Ariana Grande,2019-04-01,158586,74,0.892,0.704,0.892,0.507,3.14e-05,0.109,-8.282,0.378,143.96,4
17,imagine,"thank u, next",Ariana Grande,2019-02-08,212266,78,0.729,0.378,0.729,0.475,0.0,0.12,-4.985,0.0364,62.52,3
18,bloodline,"thank u, next",Ariana Grande,2019-02-08,216893,76,0.758,0.0815,0.758,0.665,0.000157,0.216,-5.188,0.0774,151.976,4
19,bad idea,"thank u, next",Ariana Grande,2019-02-08,267106,75,0.847,0.0268,0.847,0.579,0.0545,0.102,-5.314,0.0719,137.998,4
20,Break Free,My Everything,Ariana Grande,2014-08-21,214840,9,0.68,0.00756,0.68,0.692,4.52e-05,0.202,-5.304,0.0463,129.943,4
