,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,"SPIRIT - From Disney's ""The Lion King""","SPIRIT (From Disney's ""The Lion King"")",Beyoncé,2019-07-10,277030,69,0.448,0.00988,0.448,0.435,0.0,0.0964,-8.102,0.039,80.849,4
1,BROWN SKIN GIRL,The Lion King: The Gift,Beyoncé,2019-07-19,248472,74,0.603,0.049,0.603,0.602,0.0,0.279,-7.083,0.23,119.703,5
2,Hold Up,Lemonade,Beyoncé,2016-04-23,221093,76,0.524,0.745,0.524,0.397,0.0,0.521,-11.936,0.405,80.744,4
3,Sorry,Lemonade,Beyoncé,2016-04-23,232560,74,0.775,0.00175,0.775,0.598,4.44e-06,0.253,-7.274,0.0535,129.988,4
4,6 Inch (feat. The Weeknd),Lemonade,Beyoncé,2016-04-23,260440,68,0.516,0.0433,0.516,0.637,3.89e-06,0.11,-8.832,0.0632,138.011,4
5,Daddy Lessons,Lemonade,Beyoncé,2016-04-23,287986,71,0.643,0.273,0.643,0.503,0.0,0.349,-8.37,0.216,90.886,4
6,Formation,Lemonade,Beyoncé,2016-04-23,206080,77,0.896,0.00532,0.896,0.621,0.0,0.196,-6.857,0.237,121.966,4
7,Crazy In Love - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,167347,67,0.401,0.000263,0.401,0.769,0.000458,0.327,-8.319,0.158,99.226,4
8,Formation - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,262831,65,0.677,0.0237,0.677,0.871,0.0,0.956,-9.134,0.433,121.904,4
9,Bow Down - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,87887,65,0.389,0.0332,0.389,0.866,0.0,0.432,-7.544,0.128,141.851,4
10,Drunk in Love - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,254004,64,0.341,0.0197,0.341,0.836,7.38e-06,0.33,-8.933,0.282,141.236,4
11,Diva - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,165872,66,0.574,0.0276,0.574,0.845,0.00029,0.387,-7.406,0.164,145.921,4
12,Flawless / Feeling Myself - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,238293,63,0.587,0.079,0.587,0.764,2.1e-06,0.776,-9.322,0.215,137.013,4
13,Partition - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,138526,62,0.452,0.0101,0.452,0.487,0.0039,0.698,-11.767,0.0461,123.43,5
14,Yoncé - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,68351,64,0.685,0.0649,0.685,0.628,0.0,0.31,-12.981,0.454,88.007,4
15,Baby Boy - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,92162,63,0.702,0.00646,0.702,0.817,0.0,0.467,-8.644,0.102,100.003,4
16,Countdown - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,103235,63,0.57,0.00413,0.57,0.805,0.0,0.557,-9.217,0.293,167.334,4
17,Check On It - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,76214,62,0.519,0.00294,0.519,0.884,0.0,0.943,-8.077,0.369,167.345,4
18,Deja Vu (feat. Jay-Z) - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,289790,63,0.771,0.00534,0.771,0.684,2.66e-06,0.7,-8.742,0.141,105.968,4
19,Lose My Breath (feat. Kelly Rowland & Michelle Williams) - Homecoming Live,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,90815,61,0.721,0.0351,0.721,0.892,0.000212,0.575,-8.606,0.207,118.982,4
20,Before I Let Go - Homecoming Live Bonus Track,HOMECOMING: THE LIVE ALBUM,Beyoncé,2019-04-17,240776,67,0.713,0.0686,0.713,0.842,0.0,0.341,-5.424,0.0984,102.968,4
21,Halo,I AM...SASHA FIERCE,Beyoncé,2008-11-14,261640,79,0.508,0.272,0.508,0.72,0.0,0.0563,-5.908,0.0628,79.983,4
22,Partition,Partition,Beyoncé,2014-03-18,319466,64,0.412,0.0296,0.412,0.441,0.0726,0.306,-11.523,0.291,185.571,4
23,Run the World (Girls),4,Beyoncé,2011-06-24,236093,75,0.733,0.00496,0.733,0.899,4.72e-05,0.372,-4.237,0.143,127.086,4
24,Drunk in Love,BEYONCÉ [Platinum Edition],Beyoncé,2014-11-24,323480,73,0.589,0.00969,0.589,0.621,0.00104,0.181,-6.902,0.0468,140.03,4
25,Irreplaceable,B'Day Deluxe Edition,Beyoncé,2007-05-29,227853,74,0.447,0.0293,0.447,0.694,5.46e-06,0.167,-4.637,0.382,175.868,4
26,Say My Name,The Writing's On The Wall,Destiny's Child,1999-07-27,271333,77,0.713,0.273,0.713,0.678,0.0,0.149,-3.525,0.102,138.009,4
27,Mi Gente (feat. Beyoncé),Mi Gente (feat. Beyoncé),J Balvin,2017-09-28,209733,15,0.705,0.0249,0.705,0.714,0.0,0.253,-6.39,0.0792,104.996,4
28,7/11,BEYONCÉ [Platinum Edition],Beyoncé,2014-11-24,213506,72,0.747,0.0128,0.747,0.705,0.0,0.126,-5.137,0.126,136.024,4
29,Crazy In Love,Dangerously In Love,Beyoncé,2003-06-24,236133,76,0.646,0.00249,0.646,0.77,0.0,0.0715,-6.596,0.226,99.165,4
30,Flawless Remix,BEYONCÉ [Platinum Edition],Beyoncé,2014-11-24,234413,67,0.639,0.241,0.639,0.659,8.33e-06,0.484,-7.273,0.215,136.801,4
