,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,South of the Border (feat. Camila Cabello & Cardi B),No.6 Collaborations Project,Ed Sheeran,2019-07-12,204466,93,0.857,0.148,0.857,0.621,0.0,0.0865,-6.376,0.0824,97.986,4
1,Beautiful People (feat. Khalid),No.6 Collaborations Project,Ed Sheeran,2019-07-12,197866,87,0.64,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,92.977,4
2,Cross Me (feat. Chance the Rapper & PnB Rock),No.6 Collaborations Project,Ed Sheeran,2019-07-12,206186,75,0.746,0.214,0.746,0.787,0.0,0.0669,-6.373,0.12,95.005,4
3,Take Me Back to London (feat. Stormzy),No.6 Collaborations Project,Ed Sheeran,2019-07-12,189733,81,0.885,0.219,0.885,0.762,0.0,0.162,-5.513,0.216,138.059,4
4,Best Part of Me (feat. YEBBA),No.6 Collaborations Project,Ed Sheeran,2019-07-12,243266,75,0.565,0.762,0.565,0.242,9.3e-06,0.285,-8.367,0.0318,81.657,4
5,I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,2019-07-12,219946,85,0.798,0.0912,0.798,0.675,0.0,0.0894,-5.041,0.0442,101.956,4
6,Antisocial (with Travis Scott),No.6 Collaborations Project,Ed Sheeran,2019-07-12,161746,79,0.715,0.133,0.715,0.823,0.0,0.361,-5.313,0.0495,151.956,4
7,Remember The Name (feat. Eminem & 50 Cent),No.6 Collaborations Project,Ed Sheeran,2019-07-12,207760,79,0.852,0.135,0.852,0.666,0.0,0.798,-6.923,0.184,91.046,4
8,Feels (feat. Young Thug & J Hus),No.6 Collaborations Project,Ed Sheeran,2019-07-12,150786,71,0.665,0.112,0.665,0.68,0.0,0.096,-4.899,0.29,91.67,4
9,Put It All on Me (feat. Ella Mai),No.6 Collaborations Project,Ed Sheeran,2019-07-12,197093,71,0.627,0.253,0.627,0.594,0.0,0.373,-8.306,0.0478,101.008,4
10,Nothing On You (feat. Paulo Londra & Dave),No.6 Collaborations Project,Ed Sheeran,2019-07-12,200733,76,0.747,0.333,0.747,0.649,0.0,0.172,-6.218,0.219,88.011,4
11,I Don't Want Your Money (feat. H.E.R.),No.6 Collaborations Project,Ed Sheeran,2019-07-12,204506,72,0.469,0.314,0.469,0.631,0.0,0.14,-6.569,0.0853,91.418,4
12,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),No.6 Collaborations Project,Ed Sheeran,2019-07-12,212306,72,0.778,0.467,0.778,0.59,0.0,0.0902,-5.548,0.27,97.995,4
13,Way To Break My Heart (feat. Skrillex),No.6 Collaborations Project,Ed Sheeran,2019-07-12,190293,69,0.726,0.11,0.726,0.731,3.21e-06,0.0928,-6.304,0.159,170.125,4
14,BLOW (with Chris Stapleton & Bruno Mars),No.6 Collaborations Project,Ed Sheeran,2019-07-12,209120,70,0.631,0.000245,0.631,0.796,0.0115,0.38,-5.35,0.0401,92.469,4
15,Eraser,÷ (Deluxe),Ed Sheeran,2017-03-03,227426,67,0.64,0.086,0.64,0.812,0.0,0.0509,-5.647,0.0834,86.013,4
16,Castle on the Hill,÷ (Deluxe),Ed Sheeran,2017-03-03,261153,80,0.461,0.0232,0.461,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,4
17,Dive,÷ (Deluxe),Ed Sheeran,2017-03-03,238440,78,0.761,0.355,0.761,0.386,0.0,0.0953,-6.158,0.0399,134.943,3
18,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,87,0.825,0.581,0.825,0.652,0.0,0.0931,-3.183,0.0802,95.977,4
19,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,88,0.599,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3
20,Galway Girl,÷ (Deluxe),Ed Sheeran,2017-03-03,170826,81,0.624,0.0735,0.624,0.876,0.0,0.327,-3.374,0.1,99.943,4
21,Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,84,0.522,0.536,0.522,0.385,0.0,0.135,-7.355,0.0288,89.792,4
22,New Man,÷ (Deluxe),Ed Sheeran,2017-03-03,189280,71,0.78,0.0559,0.78,0.745,0.0,0.0595,-3.97,0.145,94.026,4
23,Hearts Don't Break Around Here,÷ (Deluxe),Ed Sheeran,2017-03-03,248413,71,0.604,0.719,0.604,0.366,0.0,0.162,-7.881,0.0267,105.177,3
24,What Do I Know?,÷ (Deluxe),Ed Sheeran,2017-03-03,237333,73,0.838,0.251,0.838,0.492,0.0,0.262,-5.69,0.038,115.092,4
25,How Would You Feel (Paean),÷ (Deluxe),Ed Sheeran,2017-03-03,280533,72,0.617,0.424,0.617,0.439,0.0,0.127,-5.63,0.0269,139.979,4
26,Supermarket Flowers,÷ (Deluxe),Ed Sheeran,2017-03-03,221106,80,0.589,0.914,0.589,0.242,0.0,0.0887,-10.517,0.0442,89.749,4
27,Barcelona,÷ (Deluxe),Ed Sheeran,2017-03-03,191146,71,0.747,0.448,0.747,0.76,0.0,0.153,-4.294,0.187,99.975,4
28,Bibia Be Ye Ye,÷ (Deluxe),Ed Sheeran,2017-03-03,176746,69,0.738,0.52,0.738,0.677,0.0,0.133,-5.121,0.0824,127.067,4
29,Nancy Mulligan,÷ (Deluxe),Ed Sheeran,2017-03-03,179786,70,0.68,0.117,0.68,0.852,0.0,0.0866,-4.35,0.0349,101.993,4
30,Save Myself,÷ (Deluxe),Ed Sheeran,2017-03-03,247106,71,0.552,0.85,0.552,0.29,0.0,0.227,-5.617,0.0448,78.842,4
31,One,x (Deluxe Edition),Ed Sheeran,2014-06-21,252760,67,0.464,0.877,0.464,0.321,0.0,0.0789,-11.12,0.0418,93.528,4
32,I'm a Mess,x (Deluxe Edition),Ed Sheeran,2014-06-21,244573,70,0.697,0.556,0.697,0.377,0.0,0.0999,-7.755,0.0397,138.754,4
33,Sing,x (Deluxe Edition),Ed Sheeran,2014-06-21,235382,71,0.818,0.304,0.818,0.67,1.22e-06,0.0601,-4.451,0.0472,119.988,4
34,Don't,x (Deluxe Edition),Ed Sheeran,2014-06-21,219840,74,0.806,0.0113,0.806,0.608,0.0,0.635,-7.008,0.0659,95.049,4
35,Nina,x (Deluxe Edition),Ed Sheeran,2014-06-21,225533,61,0.791,0.175,0.791,0.669,0.0,0.33,-7.189,0.146,92.013,4
36,Photograph,x (Deluxe Edition),Ed Sheeran,2014-06-21,258986,85,0.614,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4
37,Bloodstream,x (Deluxe Edition),Ed Sheeran,2014-06-21,300253,70,0.66,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,4
38,Tenerife Sea,x (Deluxe Edition),Ed Sheeran,2014-06-21,241346,72,0.53,0.697,0.53,0.346,1.07e-05,0.105,-10.497,0.0376,121.876,4
39,Runaway,x (Deluxe Edition),Ed Sheeran,2014-06-21,205133,62,0.767,0.024,0.767,0.449,0.000299,0.151,-7.158,0.0364,95.03,4
40,The Man,x (Deluxe Edition),Ed Sheeran,2014-06-21,250426,59,0.759,0.576,0.759,0.725,0.0,0.0771,-7.006,0.158,87.467,4
41,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,2014-06-21,281560,84,0.781,0.474,0.781,0.445,0.0,0.184,-6.061,0.0295,78.998,4
42,Afire Love,x (Deluxe Edition),Ed Sheeran,2014-06-21,314280,64,0.552,0.464,0.552,0.637,1.63e-05,0.136,-6.568,0.0445,97.97,4
43,Take It Back,x (Deluxe Edition),Ed Sheeran,2014-06-21,208400,59,0.754,0.318,0.754,0.613,0.0,0.335,-6.342,0.229,113.196,4
44,Shirtsleeves,x (Deluxe Edition),Ed Sheeran,2014-06-21,190226,58,0.752,0.319,0.752,0.76,0.0,0.335,-5.34,0.0341,107.034,4
45,Even My Dad Does Sometimes,x (Deluxe Edition),Ed Sheeran,2014-06-21,228533,59,0.58,0.756,0.58,0.318,0.000171,0.117,-8.926,0.0279,129.757,3
46,I See Fire,x (Deluxe Edition),Ed Sheeran,2014-06-21,299146,25,0.641,0.638,0.641,0.176,5.14e-06,0.252,-11.692,0.0349,76.031,4
47,English Rose,x (Wembley Edition),Ed Sheeran,2015-11-13,184173,51,0.579,0.0977,0.579,0.649,0.0,0.125,-6.522,0.0352,114.593,4
48,Touch and Go,x (Wembley Edition),Ed Sheeran,2015-11-13,240986,62,0.812,0.294,0.812,0.542,6.92e-05,0.141,-5.403,0.0444,110.268,4
49,New York,x (Wembley Edition),Ed Sheeran,2015-11-13,235960,53,0.728,0.707,0.728,0.461,0.0,0.113,-8.726,0.0395,86.014,4
50,Make It Rain,x (Wembley Edition),Ed Sheeran,2015-11-13,404480,58,0.618,0.791,0.618,0.239,0.0,0.1,-8.371,0.0274,96.846,3
51,Parting Glass - Live at Wembley Stadium,x (Wembley Edition),Ed Sheeran,2015-11-13,195967,46,0.389,0.598,0.389,0.369,0.0,0.96,-6.886,0.0404,102.625,4
52,Small Bump - Live at Wembley Stadium,x (Wembley Edition),Ed Sheeran,2015-11-13,302992,46,0.69,0.219,0.69,0.696,0.0,0.958,-7.432,0.183,125.735,4
53,Lay It All on Me,Lay It All on Me,Rudimental,2015-09-25,242440,53,0.669,0.141,0.669,0.747,0.0,0.185,-7.108,0.0428,122.531,4
54,The A Team,+,Ed Sheeran,2011-09-09,258373,70,0.642,0.669,0.642,0.289,0.0,0.18,-9.918,0.0367,84.996,4
55,Drunk,+,Ed Sheeran,2011-09-09,200093,68,0.733,0.419,0.733,0.652,2.37e-06,0.521,-9.101,0.0696,99.998,4
56,U.N.I.,+,Ed Sheeran,2011-09-09,228600,59,0.422,0.323,0.422,0.405,0.0,0.15,-11.126,0.101,74.13,4
57,Grade 8,+,Ed Sheeran,2011-09-09,179880,56,0.74,0.0446,0.74,0.807,4.02e-05,0.0538,-9.976,0.0363,101.042,4
58,Wake Me Up,+,Ed Sheeran,2011-09-09,229613,60,0.616,0.902,0.616,0.209,0.0,0.139,-13.43,0.406,86.891,1
59,Small Bump,+,Ed Sheeran,2011-09-09,259413,68,0.81,0.689,0.81,0.436,0.000151,0.11,-12.683,0.0717,119.973,4
60,This,+,Ed Sheeran,2011-09-09,195840,58,0.588,0.95,0.588,0.0929,0.00539,0.128,-14.301,0.0443,152.139,4
61,The City,+,Ed Sheeran,2011-09-09,234333,54,0.74,0.0415,0.74,0.505,6.82e-05,0.0707,-10.338,0.0674,97.994,4
62,Lego House,+,Ed Sheeran,2011-09-09,185093,73,0.592,0.562,0.592,0.637,0.0,0.13,-8.48,0.0992,159.701,4
63,"You Need Me, I Don't Need You",+,Ed Sheeran,2011-09-09,220413,66,0.749,0.162,0.749,0.837,0.0,0.525,-8.837,0.0512,103.483,4
64,Kiss Me,+,Ed Sheeran,2011-09-09,280853,74,0.589,0.64,0.589,0.227,0.00469,0.0248,-16.67,0.0498,74.993,4
65,Give Me Love,+,Ed Sheeran,2011-09-09,526386,75,0.526,0.694,0.526,0.328,0.0,0.112,-9.864,0.0461,116.068,4
66,Autumn Leaves - Deluxe Edition,+,Ed Sheeran,2011-09-09,200755,61,0.555,0.892,0.555,0.257,1.42e-06,0.124,-12.637,0.0299,89.013,4
67,Little Bird - Deluxe Edition,+,Ed Sheeran,2011-09-09,224528,56,0.843,0.565,0.843,0.425,0.0,0.102,-8.676,0.0352,104.02,4
68,Gold Rush - Deluxe Edition,+,Ed Sheeran,2011-09-09,243162,55,0.74,0.729,0.74,0.248,0.0,0.141,-12.659,0.109,83.786,4
