,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Diamonds,Unapologetic (Deluxe),Rihanna,2012-12-11,225146,74,0.564,0.00125,0.564,0.71,0.0,0.109,-4.92,0.0461,91.972,4
1,Bitch Better Have My Money,Bitch Better Have My Money,Rihanna,2015-03-26,219305,15,0.781,0.0509,0.781,0.728,1.94e-06,0.257,-4.981,0.0621,102.99,4
2,Where Have You Been,Talk That Talk (Deluxe),Rihanna,2012-07-18,242680,14,0.719,0.00201,0.719,0.847,0.0204,0.223,-6.34,0.0916,127.963,4
3,Rude Boy,Rated R,Rihanna,2009-11-20,222920,13,0.563,0.113,0.563,0.75,0.0,0.0788,-4.496,0.127,173.906,4
4,S&M,Loud,Rihanna,2010-11-16,243533,73,0.766,0.0113,0.766,0.682,0.00016,0.104,-5.02,0.0419,127.966,4
5,Needed Me,ANTI,Rihanna,2016-01-28,191600,15,0.671,0.11,0.671,0.314,0.0,0.0825,-8.091,0.244,110.898,4
6,This Is What You Came For,This Is What You Came For,Calvin Harris,2016-04-29,222160,80,0.63,0.199,0.63,0.928,0.124,0.148,-2.787,0.0331,123.963,4
7,Wild Thoughts,Wild Thoughts,DJ Khaled,2017-06-16,204664,17,0.613,0.0287,0.613,0.681,0.0,0.126,-3.089,0.0778,97.621,4
8,What's My Name?,Loud,Rihanna,2010-11-16,263173,69,0.69,0.229,0.69,0.786,0.0,0.0797,-2.959,0.0692,100.049,4
9,Work,ANTI (Deluxe),Rihanna,2016-01-28,219320,17,0.725,0.0752,0.725,0.534,0.0,0.0919,-6.238,0.0946,91.974,4
10,We Found Love,Talk That Talk (Deluxe),Rihanna,2012-07-18,215226,20,0.734,0.025,0.734,0.766,0.00138,0.108,-4.485,0.0383,127.986,4
11,Stay,Unapologetic (Deluxe),Rihanna,2012-12-11,240706,76,0.621,0.945,0.621,0.31,6.12e-05,0.117,-10.164,0.0283,111.893,4
12,Only Girl (In The World),Loud,Rihanna,2010-11-16,235493,72,0.789,0.13,0.789,0.716,1.09e-05,0.069,-4.241,0.0434,125.91,4
