,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Lover - First Dance Remix,Lover (First Dance Remix),Taylor Swift,2019-11-26,233466,64,0.506,0.687,0.506,0.425,1.08e-06,0.158,-8.198,0.0343,68.449,4
1,Lover (Remix) [feat. Shawn Mendes],Lover (Remix) [feat. Shawn Mendes],Taylor Swift,2019-11-13,221306,88,0.448,0.433,0.448,0.603,0.0,0.0862,-7.176,0.064,205.272,3
2,"Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats""","Beautiful Ghosts (From The Motion Picture ""Cats"")",Taylor Swift,2019-11-15,261061,70,0.368,0.85,0.368,0.238,0.0,0.0974,-8.976,0.0599,187.05,3
3,I Forgot That You Existed,Lover,Taylor Swift,2019-08-23,170640,82,0.664,0.298,0.664,0.316,2.03e-06,0.0812,-10.345,0.519,92.875,4
4,Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,82,0.552,0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,4
5,Lover,Lover,Taylor Swift,2019-08-23,221306,88,0.359,0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,4
6,The Man,Lover,Taylor Swift,2019-08-23,190360,83,0.777,0.0767,0.777,0.658,0.0,0.0901,-5.191,0.054,110.048,4
7,The Archer,Lover,Taylor Swift,2019-08-23,211240,79,0.292,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,4
8,I Think He Knows,Lover,Taylor Swift,2019-08-23,173386,78,0.897,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,4
9,Miss Americana & The Heartbreak Prince,Lover,Taylor Swift,2019-08-23,234146,78,0.662,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,4
10,Paper Rings,Lover,Taylor Swift,2019-08-23,222400,79,0.811,0.0129,0.811,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,4
11,Cornelia Street,Lover,Taylor Swift,2019-08-23,287266,78,0.824,0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,4
12,Death By A Thousand Cuts,Lover,Taylor Swift,2019-08-23,198533,77,0.712,0.454,0.712,0.732,0.0,0.319,-6.754,0.0629,94.071,4
13,London Boy,Lover,Taylor Swift,2019-08-23,190240,78,0.695,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,4
14,Soon You’ll Get Better (feat. Dixie Chicks),Lover,Taylor Swift,2019-08-23,201586,74,0.433,0.907,0.433,0.182,0.0,0.123,-12.566,0.0641,207.476,4
15,False God,Lover,Taylor Swift,2019-08-23,200306,76,0.739,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,4
16,You Need To Calm Down,Lover,Taylor Swift,2019-08-23,171360,88,0.771,0.00929,0.771,0.671,0.0,0.0637,-5.617,0.0553,85.026,4
17,Afterglow,Lover,Taylor Swift,2019-08-23,223293,77,0.756,0.13,0.756,0.449,0.0,0.114,-8.746,0.0344,111.011,4
18,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,2019-08-23,193000,86,0.61,0.033,0.61,0.83,0.0,0.118,-4.105,0.0571,182.162,4
19,It’s Nice To Have A Friend,Lover,Taylor Swift,2019-08-23,150440,73,0.737,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,4
20,Daylight,Lover,Taylor Swift,2019-08-23,293453,75,0.557,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,4
21,Lover,Lover,Taylor Swift,2019-08-16,221306,59,0.359,0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,4
22,You Need To Calm Down - Clean Bandit Remix,You Need To Calm Down (Clean Bandit Remix),Taylor Swift,2019-08-20,152773,57,0.726,0.072,0.726,0.88,0.000462,0.0906,-4.137,0.0581,95.037,4
23,The Archer,The Archer,Taylor Swift,2019-07-23,211280,52,0.292,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,4
24,You Need To Calm Down,You Need To Calm Down,Taylor Swift,2019-06-14,171386,61,0.769,0.00838,0.769,0.678,0.0,0.0596,-5.604,0.0507,85.025,4
25,ME! (feat. Brendon Urie of Panic! At The Disco),ME!,Taylor Swift,2019-04-26,193040,34,0.614,0.0291,0.614,0.839,0.0,0.112,-4.143,0.0702,182.123,4
26,...Ready For It?,reputation,Taylor Swift,2017-11-10,208186,70,0.613,0.0527,0.613,0.764,0.0,0.197,-6.509,0.136,160.015,4
27,Blank Space,1989 (Deluxe Edition),Taylor Swift,2014-10-27,231826,60,0.76,0.103,0.76,0.703,0.0,0.0913,-5.412,0.054,95.997,4
28,Bad Blood,Bad Blood,Taylor Swift,2015-05-17,200106,65,0.654,0.0294,0.654,0.655,0.0,0.139,-7.388,0.106,170.16,4
29,Shake It Off,1989 (Deluxe Edition),Taylor Swift,2014-10-27,219200,58,0.647,0.0647,0.647,0.8,0.0,0.334,-5.384,0.165,160.078,4
30,You Belong With Me,Fearless Platinum Edition,Taylor Swift,2008-11-11,231146,56,0.687,0.164,0.687,0.771,2.46e-05,0.112,-4.424,0.0384,129.964,4
31,We Are Never Ever Getting Back Together,Red (Deluxe Edition),Taylor Swift,2012-10-22,191880,59,0.628,0.00957,0.628,0.676,2.65e-05,0.102,-5.911,0.0916,85.984,4
32,Mean,Speak Now (Deluxe Edition),Taylor Swift,2010-10-25,237733,54,0.568,0.452,0.568,0.761,0.0,0.217,-3.987,0.0459,163.974,4
