,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Heartless,Heartless,The Weeknd,2019-11-27,200080,91,0.531,0.00632,0.531,0.75,7.6e-05,0.117,-5.831,0.111,169.954,4
1,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,201573,88,0.513,0.00147,0.513,0.796,0.000209,0.0938,-4.075,0.0629,171.017,4
2,Starboy,Starboy,The Weeknd,2016-11-25,230453,85,0.678,0.141,0.678,0.588,6.35e-06,0.137,-7.015,0.276,186.005,4
3,The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,242253,83,0.58,0.0671,0.58,0.565,0.0,0.135,-7.065,0.0488,112.986,4
4,Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-30,228373,25,0.449,0.211,0.449,0.599,0.0,0.327,-4.892,0.0369,134.144,3
5,Try Me,"My Dear Melancholy,",The Weeknd,2018-03-30,221106,18,0.466,0.622,0.466,0.672,0.00108,0.147,-5.777,0.068,91.673,4
6,I Feel It Coming,Starboy,The Weeknd,2016-11-25,269186,81,0.773,0.426,0.773,0.819,0.0,0.0679,-5.946,0.118,92.99,4
7,Wasted Times,"My Dear Melancholy,",The Weeknd,2018-03-30,220293,17,0.562,0.622,0.562,0.674,2.04e-05,0.111,-6.049,0.0851,122.699,4
8,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,2015-08-28,213520,80,0.705,0.112,0.705,0.769,0.0,0.105,-5.526,0.0426,107.939,4
9,I Was Never There,"My Dear Melancholy,",The Weeknd,2018-03-30,241066,15,0.324,0.135,0.324,0.735,4.84e-05,0.169,-4.054,0.0337,113.923,4
10,Hurt You,"My Dear Melancholy,",The Weeknd,2018-03-30,230026,17,0.484,0.3,0.484,0.716,0.00214,0.112,-7.193,0.167,184.131,4
11,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",The Weeknd,2014-12-23,252226,79,0.66,0.391,0.66,0.382,0.0,0.0972,-5.919,0.0304,119.875,3
12,Privilege,"My Dear Melancholy,",The Weeknd,2018-03-30,170573,15,0.391,0.913,0.391,0.595,0.00557,0.145,-7.094,0.0411,93.78,4
13,Pray For Me (with Kendrick Lamar),Pray For Me (with Kendrick Lamar),The Weeknd,2018-02-02,211440,15,0.728,0.0805,0.728,0.668,1.49e-05,0.102,-5.02,0.126,100.537,4
14,Power is Power (feat. The Weeknd & Travis Scott),For The Throne (Music Inspired by the HBO Series Game of Thrones),Game of Thrones,2019-04-26,211266,74,0.507,0.00413,0.507,0.644,0.0,0.217,-7.485,0.0641,179.913,4
