Position,Track Name,Artist,Streams,URL
1,Dance Monkey,Tones and I,6352329,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,Arizona Zervas,4194460,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Memories,Maroon 5,3900926,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
4,Circles,Post Malone,3853455,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,Someone You Loved,Lewis Capaldi,3546140,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
6,SeÃ±orita,Shawn Mendes,3505357,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
7,everything i wanted,Billie Eilish,3498618,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
8,Don't Start Now,Dua Lipa,3428798,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,Heartless,The Weeknd,3357865,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
10,Blinding Lights,The Weeknd,3152412,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
11,All I Want for Christmas Is You,Mariah Carey,3076262,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
12,bad guy,Billie Eilish,3042660,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,RITMO (Bad Boys For Life),The Black Eyed Peas,3034494,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
14,Tusa,KAROL G,2997864,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
15,Falling,Trevor Daniel,2879087,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
16,Lose You To Love Me,Selena Gomez,2704072,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
17,HIGHEST IN THE ROOM,Travis Scott,2626286,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
18,Vete,Bad Bunny,2498523,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
19,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2439834,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
20,Last Christmas,Wham!,2416728,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
21,hot girl bummer,blackbear,2400847,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
22,Beautiful People (feat. Khalid),Ed Sheeran,2186643,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
23,Ride It,Regard,2144392,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
24,I Don't Care (with Justin Bieber),Ed Sheeran,2122185,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
25,China,Anuel AA,2071247,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
26,7 rings,Ariana Grande,1993873,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
27,Santa Tell Me,Ariana Grande,1969165,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
28,How Do You Sleep?,Sam Smith,1836871,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
29,Goodbyes (Feat. Young Thug),Post Malone,1782222,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
30,LA CANCIÃ“N,J Balvin,1758569,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
31,Before You Go,Lewis Capaldi,1754033,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
32,"10,000 Hours (with Justin Bieber)",Dan + Shay,1722153,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
33,Fantasias,Rauw Alejandro,1700940,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
34,Lalala,Y2K,1685564,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
35,Callaita,Bad Bunny,1677291,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
36,It's Beginning to Look a Lot like Christmas,Michael BublÃ©,1674124,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
37,Watermelon Sugar,Harry Styles,1645386,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
38,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,1630095,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
39,Old Town Road - Remix,Lil Nas X,1619439,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
40,Shallow,Lady Gaga,1598646,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
41,No Me Conoce - Remix,Jhay Cortez,1570416,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
42,Rockin' Around The Christmas Tree,Brenda Lee,1569839,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
43,BOP,DaBaby,1543132,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
44,Jingle Bell Rock,Bobby Helms,1505606,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
45,Adicto (with Anuel AA & Ozuna),Tainy,1486903,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
46,when the party's over,Billie Eilish,1486200,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
47,Trampoline (with ZAYN),SHAED,1478173,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
48,Ransom,Lil Tecca,1473229,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
49,Mistletoe,Justin Bieber,1470540,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
50,Lose Control,MEDUZA,1464191,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
51,It's the Most Wonderful Time of the Year,Andy Williams,1442629,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
52,Lights Up,Harry Styles,1442304,https://open.spotify.com/track/5aJEh9Oqdz7PRLKTpH25pB
53,Bandit (with YoungBoy Never Broke Again),Juice WRLD,1429775,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
54,Wow.,Post Malone,1423142,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
55,Liar,Camila Cabello,1422597,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
56,Que Tire Pa Lante,Daddy Yankee,1375306,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
57,lovely (with Khalid),Billie Eilish,1362904,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
58,Truth Hurts,Lizzo,1339300,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
